AmbientRoomTemperature,ElapsedTime,LongitudinalForce,LateralForce,NormalForce,InclinationAngle,OverturningMoment,AligningTorque,WheelRotationalSpeed,NormalizedLongitudinalForce(FX/FZ),NormalizedLateralForce(FY/FZ),TirePressure,EffectiveRadius,LoadedRadius,RoadSurfaceTemperature,SlipAngle,SlipRatioTextbook,SlipRatioBasedOnRL,TireSurfaceTemperature-Center,TireSurfaceTemperature-Inboard,TireSurfaceTemperature-Outboard,RoadSpeed,testid,tireid,Index
78.6,953.459,-6.76,-56.33,-157.96,0.02,-2.76,7.35,0.09,0.0428,0.3566,9.71,44298.17,7.69,93.15,0.456,-0,-0.9998,120.36,120.59,124.09,24.93,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",23681
78.58,953.469,-6.23,-60.94,-157.33,0.007,-2.75,6.31,0.03,0.0396,0.3874,9.71,159968.42,7.69,93.1,0.503,-0,-1,120.25,120.52,124.19,24.95,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",23682
78.6,953.479,-5.14,-65.26,-155.36,0.006,-2.56,5.76,0.03,0.0331,0.4201,9.71,160041.27,7.69,93.09,0.543,-0,-1,120.21,120.52,124.21,24.96,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",23683
78.61,953.489,-4.54,-68.66,-153.29,0.009,-1.15,5.44,0.09,0.0296,0.4479,9.71,44358.5,7.69,93.06,0.596,-0,-0.9998,120.12,120.52,124.21,24.97,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",23684
78.59,953.499,-5.22,-72.82,-151.11,0.006,-0.86,4.74,-0.04,0.0345,0.4819,9.7,-99552.25,7.69,93.01,0.629,-0,-1.0001,120.04,120.48,124.23,24.98,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",23685
78.59,953.509,-6.63,-77.16,-150.13,0.01,-0.14,4.44,0.09,0.0442,0.514,9.71,44347.29,7.69,93.01,0.674,-0,-0.9998,119.93,120.43,124.23,24.96,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",23686
78.61,953.519,-8.13,-81.81,-150.56,0.007,0.83,4.93,0.09,0.054,0.5433,9.71,44336.25,7.69,92.99,0.731,-0,-0.9998,119.95,120.45,124.31,24.96,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",23687
78.6,953.529,-9.96,-87.45,-150.9,0.023,-0.31,5.32,0.03,0.066,0.5795,9.72,159957.3,7.69,93,0.764,-0,-1,120.04,120.41,124.39,24.95,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",23688
78.58,953.539,-10.99,-93.3,-152.87,-0,-0.46,6.14,0.09,0.0719,0.6103,9.71,44387.03,7.7,93.01,0.784,-0,-0.9998,120.04,120.41,124.48,24.98,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",23689
78.6,953.549,-10.76,-98.92,-154.96,0.007,-0.71,7.54,-0.04,0.0695,0.6384,9.71,-99592.2,7.7,93.04,0.84,-0,-1.0001,120.04,120.32,124.58,24.99,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",23690
78.62,953.559,-9.47,-104.7,-156.71,0.013,-1.23,9.05,0.03,0.0604,0.6681,9.73,160285.7,7.69,93.07,0.88,-0,-1,120.06,120.37,124.64,25,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",23691
78.6,953.569,-7.51,-109.94,-158.3,-0,-0.59,10.3,0.03,0.0474,0.6945,9.72,160321.36,7.7,93.12,0.907,-0,-1,119.99,120.34,124.66,25.01,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",23692
78.58,953.579,-5.75,-114.42,-157.82,-0.006,-0.35,10.7,0.09,0.0364,0.725,9.73,44395.01,7.7,93.13,0.939,-0,-0.9998,120.06,120.32,124.68,24.99,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",23693
78.61,953.589,-4.27,-117.99,-156.75,0.004,0.88,10.8,0.09,0.0272,0.7527,9.71,44353.22,7.7,93.17,0.976,-0,-0.9998,119.97,120.3,124.66,24.97,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",23694
78.61,953.599,-3.05,-121.08,-154.01,0.009,0.55,11.02,0.03,0.0198,0.7862,9.74,159980.11,7.7,93.2,1.023,-0,-1,119.87,120.37,124.68,24.96,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",23695
78.58,953.609,-2.23,-123.54,-151.9,0.006,1.29,11.76,-0.04,0.0147,0.8133,9.72,-99399.68,7.7,93.26,1.054,-0,-1.0001,119.82,120.37,124.6,24.94,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",23696
78.59,953.619,-1.75,-126.47,-150.48,0.003,1.88,13.48,0.03,0.0116,0.8404,9.74,159901.25,7.7,93.27,1.095,-0,-1,119.72,120.32,124.58,24.94,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",23697
78.61,953.629,-1.62,-129.91,-150.28,0.013,1.84,15.7,-0.04,0.0108,0.8645,9.75,-99396.73,7.7,93.27,1.128,-0,-1.0001,119.74,120.26,124.66,24.94,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",23698
78.6,953.639,-2.99,-134.1,-150.94,0.007,1.37,16.92,0.03,0.0198,0.8884,9.74,159859.42,7.7,93.3,1.165,-0,-1,119.74,120.34,124.74,24.94,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",23699
78.58,953.649,-4.41,-138.46,-152.47,0.007,1.3,17.74,0.09,0.0289,0.9081,9.76,44318.38,7.7,93.3,1.196,-0,-0.9998,119.69,120.34,124.8,24.95,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",23700
78.6,953.659,-5.01,-143.29,-154.76,0.007,0.9,18.51,0.09,0.0324,0.9258,9.75,44317.39,7.7,93.33,1.246,-0,-0.9998,119.69,120.32,124.86,24.95,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",23701
78.61,953.669,-4.99,-148.09,-157.24,-0.003,0.59,18.62,0.09,0.0317,0.9418,9.77,44347.54,7.7,93.32,1.282,-0,-0.9998,119.67,120.3,124.92,24.97,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",23702
78.58,953.679,-4.18,-152.63,-158.88,0.01,1,18.58,0.09,0.0263,0.9606,9.77,44357.06,7.7,93.3,1.319,-0,-0.9998,119.61,120.23,124.98,24.97,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",23703
78.59,953.689,-2.79,-156.65,-159.39,0.007,1.69,18.28,0.03,0.0175,0.9828,9.77,160067.27,7.7,93.3,1.369,-0,-1,119.59,120.26,125,24.97,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",23704
78.62,953.699,-1.56,-160.21,-157.78,0.012,1.19,17.55,0.09,0.0099,1.0154,9.77,44344.9,7.7,93.29,1.405,-0,-0.9998,119.56,120.17,125,24.97,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",23705
78.59,953.709,-1.29,-162.82,-155.34,0.009,1.63,16.07,0.09,0.0083,1.0481,9.77,44364.59,7.7,93.28,1.445,-0,-0.9998,119.54,120.12,124.96,24.98,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",23706
78.57,953.719,-1.56,-164.82,-152.48,0.012,2,14.71,0.03,0.0102,1.0809,9.77,160206.28,7.7,93.27,1.487,-0,-1,119.48,120.17,124.96,25,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",23707
78.6,953.729,-1.96,-167.11,-150.64,0.006,2.55,14.55,0.03,0.013,1.1094,9.79,160314.67,7.7,93.28,1.523,-0,-1,119.46,120.08,124.96,25.01,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",23708
78.61,953.739,-3.09,-170.21,-149.41,0.004,2.15,14.79,0.09,0.0207,1.1392,9.79,44423.23,7.7,93.3,1.577,-0,-0.9998,119.5,120.1,125,25.01,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",23709
