AmbientRoomTemperature,ElapsedTime,LongitudinalForce,LateralForce,NormalForce,InclinationAngle,OverturningMoment,AligningTorque,WheelRotationalSpeed,NormalizedLongitudinalForce(FX/FZ),NormalizedLateralForce(FY/FZ),TirePressure,EffectiveRadius,LoadedRadius,RoadSurfaceTemperature,SlipAngle,SlipRatioTextbook,SlipRatioBasedOnRL,TireSurfaceTemperature-Center,TireSurfaceTemperature-Inboard,TireSurfaceTemperature-Outboard,RoadSpeed,testid,tireid,Index
78.29,549.139,-3.93,-21.66,-50.91,1.983,-6.8,13.97,0.16,0.0772,0.4255,12,25730.14,7.98,90.6,0.421,-0,-0.9997,124.39,127.04,126.03,24.95,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",11224
78.29,549.149,-4.99,-24.1,-52.69,1.983,-7.36,13.04,0.09,0.0948,0.4574,12.05,44340.16,7.98,90.65,0.47,-0,-0.9998,124.39,126.99,126.07,24.96,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",11225
78.32,549.159,-5.31,-27.18,-54.46,1.987,-8.3,11.45,0.03,0.0974,0.4991,12.18,160008.86,7.98,90.68,0.512,-0,-1,124.39,126.84,126.05,24.96,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",11226
78.3,549.169,-4.55,-29.95,-55.13,1.987,-8.42,10.3,0.03,0.0825,0.5432,12.21,160081.05,7.98,90.72,0.576,-0,-1,124.37,126.86,126.05,24.97,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",11227
78.28,549.179,-2.77,-32.12,-55.06,1.987,-8.13,9.99,-0.04,0.0504,0.5832,12.2,-99508.98,7.98,90.76,0.615,-0,-1.0001,124.35,126.79,126.03,24.97,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",11228
78.3,549.189,-2.15,-34,-53.58,1.985,-8.17,8.59,0.03,0.0401,0.6346,12.14,160115.14,7.98,90.82,0.659,-0,-1,124.29,126.9,126.05,24.97,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",11229
78.32,549.199,-2.46,-35.47,-51.79,1.992,-7.5,7.03,0.03,0.0475,0.6848,12.04,160150.59,7.98,90.82,0.702,-0,-1,124.22,126.99,126.05,24.98,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",11230
78.29,549.209,-3.18,-36.32,-50.33,2.002,-6.09,6.32,0.03,0.0632,0.7216,11.96,160223.53,7.98,90.83,0.735,-0,-1,124.22,127.06,126.05,24.99,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",11231
78.28,549.219,-3.83,-37.74,-49.59,2.004,-5.05,6.85,0.03,0.0772,0.7609,11.97,160221.78,7.97,90.8,0.775,-0,-1,124.13,127.15,126.05,24.99,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",11232
78.31,549.229,-5.02,-39.75,-48.96,1.996,-5.8,7.43,-0.04,0.1025,0.8119,12.02,-99503.29,7.98,90.8,0.832,-0,-1.0001,124.18,127.28,126.13,24.97,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",11233
78.3,549.239,-6.4,-41.89,-49.99,1.995,-5.56,8.29,-0.04,0.128,0.838,12.11,-99433.44,7.98,90.77,0.851,-0,-1.0001,124.18,127.34,126.21,24.95,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",11234
78.28,549.249,-7.06,-44.49,-51.3,1.992,-6.84,9.41,0.03,0.1377,0.8673,12.2,159843.83,7.98,90.76,0.908,-0,-1,124.13,127.3,126.19,24.93,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",11235
78.3,549.259,-7,-47.15,-53.43,2.008,-7.51,10.54,0.16,0.131,0.8824,12.22,25720.95,7.97,90.74,0.927,-0,-0.9997,124.13,127.23,126.21,24.94,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",11236
78.32,549.269,-6.26,-49.63,-54.8,1.979,-8.82,11.03,0.03,0.1142,0.9056,12.18,160026.14,7.98,90.75,0.974,-0,-1,124.13,127.15,126.21,24.96,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",11237
78.29,549.279,-4.73,-51.38,-55.88,1.996,-9.02,11.45,0.09,0.0847,0.9195,12.09,44375.23,7.98,90.73,0.991,-0,-0.9998,124.09,127.08,126.21,24.98,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",11238
78.28,549.289,-2.95,-52.73,-55.77,1.985,-8.75,11.61,0.09,0.0528,0.9454,12,44415.72,7.98,90.71,1.036,-0,-0.9998,124.09,127.12,126.23,25,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",11239
