RoadSpeed,TirePressure,InclinationAngle,NormalForce,SlipAngle,ElapsedTime,AligningTorque,LateralForce,Index,SourceFile
25,12,0,-265.97,-1.696,290.73,-30.7,206.62,2451,R20MZ_FZ_250_filtered
25,12,0,-265.91,4.997,418.87,40.16,-473.6,6729,R20MZ_FZ_250_filtered
25,12,0,-265.79,5.164,249.82,36.68,-480.89,493,R20MZ_FZ_250_filtered
25,12,0,-265.69,2.596,284.27,34.99,-296.49,1806,R20MZ_FZ_250_filtered
25,12,0,-265.67,-4.432,290.05,-44.44,436.94,2383,R20MZ_FZ_250_filtered
25,12,0,-265.64,-1.392,257.01,-25.65,177.15,1211,R20MZ_FZ_250_filtered
25,12,0,-265.62,6.075,249.59,32.96,-519.2,470,R20MZ_FZ_250_filtered
25,12,-0,-265.6,2.089,250.59,33.53,-254.15,570,R20MZ_FZ_250_filtered
25,12,4,-265.57,2.818,757.413,63.14,-248.07,19239,R20MZ_IA-4_FZ_250_filtered
25,12,0,-265.56,6.119,249.58,33.43,-520.12,469,R20MZ_FZ_250_filtered
25,12,0,-265.56,2.057,250.6,32.53,-251.37,571,R20MZ_FZ_250_filtered
25,12,0,-265.51,-4.069,290.14,-43.08,416.63,2392,R20MZ_FZ_250_filtered
25,12,-0,-265.46,-4.637,425.2,-43.07,452.77,7361,R20MZ_FZ_250_filtered
25,12,0,-265.41,-0.959,257.13,-16.63,119.45,1223,R20MZ_FZ_250_filtered
25,12,4,-265.41,6.456,756.493,54.77,-498.85,19147,R20MZ_IA-4_FZ_250_filtered
25,12,2,-265.31,3.146,588.328,53.85,-321.33,13003,R20MZ_IA-2_FZ_250_filtered
25,12,0,-265.23,-0.912,257.14,-15.94,112.78,1224,R20MZ_FZ_250_filtered
25,12,0,-265.2,-3.574,256.47,-44.33,382.66,1157,R20MZ_FZ_250_filtered
25,12,0,-265.18,-3.509,290.28,-43.86,375.69,2406,R20MZ_FZ_250_filtered
25,12,0,-265.17,5.618,249.71,33.44,-499.18,482,R20MZ_FZ_250_filtered
25,12,0,-265.17,3.784,283.97,40.34,-400.41,1776,R20MZ_FZ_250_filtered
25,12,-0,-265.11,2.9,284.2,35.67,-326.73,1799,R20MZ_FZ_250_filtered
25,12,0,-265.09,-5.077,425.09,-41.45,474.01,7350,R20MZ_FZ_250_filtered
25,12,0,-265.08,-4.958,289.92,-41.17,465.33,2370,R20MZ_FZ_250_filtered
