AmbientRoomTemperature,ElapsedTime,LongitudinalForce,LateralForce,NormalForce,InclinationAngle,OverturningMoment,AligningTorque,WheelRotationalSpeed,NormalizedLongitudinalForce(FX/FZ),NormalizedLateralForce(FY/FZ),TirePressure,EffectiveRadius,LoadedRadius,RoadSurfaceTemperature,SlipAngle,SlipRatioTextbook,SlipRatioBasedOnRL,TireSurfaceTemperature-Center,TireSurfaceTemperature-Inboard,TireSurfaceTemperature-Outboard,RoadSpeed,testid,tireid,Index
78.52,919.689,-9.01,-70.39,-200.32,0.017,1.38,8.59,0.03,0.045,0.3514,9.99,160225.72,7.59,93.11,0.552,-0,-1,116.56,118.08,121.99,24.99,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",22438
78.49,919.699,-9.95,-76.13,-201.29,0.006,0.75,9.79,-0.04,0.0494,0.3782,9.98,-99575.28,7.59,93.08,0.606,-0,-1.0001,116.56,118.01,122.11,24.98,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",22439
78.48,919.709,-10.54,-82.5,-203.25,0.004,0.32,10.9,0.03,0.0518,0.4059,9.97,160147.66,7.59,93.1,0.64,-0,-1,116.56,117.99,122.13,24.98,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",22440
78.51,919.719,-11.1,-89.21,-205.95,0.007,-0.21,11.39,0.09,0.0539,0.4331,9.98,44388.02,7.59,93.07,0.683,-0,-0.9998,116.52,117.95,122.17,24.98,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",22441
78.51,919.729,-10.88,-96.05,-208.26,0.006,-0.78,11.61,0.03,0.0522,0.4612,9.99,160143.88,7.6,93.06,0.722,-0,-1,116.56,117.9,122.19,24.98,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",22442
78.49,919.739,-10.06,-101.94,-209.3,-0,-0.79,11.83,0.09,0.048,0.4871,9.99,44386.93,7.6,93.02,0.765,-0,-0.9998,116.63,117.86,122.23,24.98,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",22443
78.5,919.749,-8.91,-107.22,-209.23,0.013,0.39,11.77,-0.04,0.0426,0.5125,9.99,-99569.07,7.59,93.01,0.815,-0,-1.0001,116.6,117.86,122.25,24.98,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",22444
78.52,919.759,-7.7,-111.71,-207.21,0.017,0.67,11.8,0.16,0.0372,0.5391,10,25768.4,7.59,92.99,0.838,-0,-0.9997,116.58,117.81,122.25,24.99,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",22445
78.5,919.769,-6.69,-115.54,-204.03,0.004,1.34,12.04,0.09,0.0328,0.5663,10,44374.74,7.6,92.96,0.892,-0,-0.9998,116.52,117.7,122.25,24.98,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",22446
78.48,919.779,-6.23,-119.23,-201.75,-0,2.47,12.71,0.16,0.0309,0.5909,9.99,25761.8,7.6,92.96,0.908,-0,-0.9997,116.45,117.66,122.27,24.98,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",22447
78.5,919.789,-6.63,-123.27,-200.47,0.012,3.2,13.59,0.03,0.0331,0.6149,9.99,160094.61,7.6,92.93,0.947,-0,-1,116.41,117.59,122.27,24.97,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",22448
78.51,919.799,-7.53,-128.23,-200.38,0.007,3.6,14.73,0.03,0.0376,0.6399,9.99,160128.73,7.6,92.94,0.997,-0,-1,116.43,117.55,122.37,24.98,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",22449
