RoadSpeed,TirePressure,InclinationAngle,NormalForce,SlipAngle,ElapsedTime,AligningTorque,LateralForce,Index
25,12,0,-194.65,2.195,313,21.53,-239.69,2546
25,12,0,-194.52,2.245,313.01,21.89,-242.02,2547
25,12,0,-195.25,2.275,313.02,22.04,-245.58,2548
25,12,0,-197.36,2.311,313.03,22.53,-249.96,2549
25,12,0,-201.02,2.457,313.07,22.42,-266.9,2553
25,12,0,-198.54,2.504,313.08,22.09,-268.59,2554
25,12,0,-195.4,2.535,313.09,20.74,-269.49,2555
25,12,0,-193.05,2.567,313.1,20.4,-269.91,2556
25,12,0,-193.4,2.724,313.14,26.38,-278.15,2560
25,12,0,-195.44,2.76,313.15,27.52,-283.15,2561
25,12,0,-196.68,2.796,313.16,28.16,-287.67,2562
25,12,0,-198.03,2.835,313.17,28.29,-291.7,2563
25,12,0,-197.62,2.876,313.18,28.07,-294.64,2564
25,12,0,-189.91,3.026,313.21,24.52,-297.04,2567
25,12,0,-187.68,3.068,313.22,22.66,-297.03,2568
25,12,0,-187.07,3.109,313.23,21.84,-297.79,2569
25,12,0,-187.93,3.152,313.24,21.76,-300.12,2570
25,12,0,-189.12,3.191,313.25,22.15,-303.85,2571
25,12,0,-191.41,3.225,313.26,22.61,-308.38,2572
25,12,0,-192.84,3.274,313.27,23.09,-313.2,2573
25,12,0,-194.31,3.307,313.28,22.99,-317.4,2574
25,12,0,-193.46,3.397,313.3,21.41,-321.58,2576
25,12,0,-191.02,3.429,313.31,20.42,-321.85,2577
25,12,0,-188.55,3.467,313.32,19.53,-320.75,2578
25,12,0,-185.63,3.5,313.33,19.7,-320.25,2579
25,12,0,-184.94,3.53,313.34,19.99,-320.57,2580
25,12,0,-191.82,3.681,313.38,27.19,-334.11,2584
25,12,0,-194,3.728,313.39,27.85,-338.16,2585
25,12,0,-194.9,3.765,313.4,27.99,-341.28,2586
25,12,0,-194.48,3.801,313.41,27.2,-343.43,2587
25,12,-0,-192.23,3.848,313.42,25.81,-344.5,2588
25,12,0,-185.18,4.01,313.46,23.99,-344.16,2592
25,12,0,-186.69,4.046,313.47,24.13,-346.34,2593
25,12,0,-188.47,4.082,313.48,25.13,-349.91,2594
25,12,0,-191.55,4.129,313.49,25.2,-354.59,2595
25,12,-0,-194.7,4.168,313.5,24.75,-359.87,2596
25,12,0,-196.71,4.202,313.51,24.47,-364.72,2597
25,12,0,-197.09,4.252,313.52,23.71,-368.28,2598
25,12,0,-195.62,4.279,313.53,22.89,-369.19,2599
25,12,0,-189.65,4.371,313.55,21.17,-367.31,2601
25,12,0,-185.96,4.463,313.57,21.67,-365.27,2603
25,12,0,-186.79,4.487,313.58,22.9,-366.64,2604
25,12,0,-188.81,4.533,313.59,24.32,-369.91,2605
25,12,0,-191.58,4.581,313.6,25.17,-374.91,2606
25,12,0,-194.5,4.627,313.61,25.53,-380.36,2607
25,12,0,-196.3,4.663,313.62,24.98,-385.64,2608
25,12,0,-197.92,4.696,313.63,25.01,-389.39,2609
25,12,0,-197.14,4.736,313.64,23.64,-390.77,2610
25,12,0,-194.92,4.788,313.65,22.26,-390.13,2611
25,12,0,-191.34,4.821,313.66,20.95,-387.62,2612
25,12,0,-189.21,4.979,313.7,22.31,-387.27,2616
25,12,0,-191.27,5.02,313.71,23.55,-392.25,2617
25,12,0,-193.93,5.067,313.72,23.88,-398.19,2618
25,12,0,-196.84,5.107,313.73,24.03,-403.94,2619
25,12,0,-198.56,5.14,313.74,23.46,-407.98,2620
25,12,0,-198.14,5.18,313.75,23.28,-410.32,2621
25,12,0,-196.34,5.216,313.76,22.47,-408.76,2622
25,12,0,-193.12,5.259,313.77,21.43,-405.93,2623
25,12,-0,-188.4,5.332,313.79,20.72,-399.67,2625
25,12,0,-187.98,5.366,313.8,22.06,-399.83,2626
25,12,0,-188.82,5.419,313.81,23.4,-402.16,2627
25,12,0,-190.43,5.458,313.82,24.21,-406.99,2628
25,12,0,-196.62,5.536,313.84,24.31,-418.85,2630
25,12,0,-198.41,5.569,313.85,23.82,-423.36,2631
25,12,0,-198.02,5.658,313.87,21.55,-424.44,2633
25,12,0,-194.71,5.697,313.88,20.35,-421.14,2634
25,12,0,-191.47,5.734,313.89,19.06,-416.77,2635
25,12,0,-193.22,5.94,313.94,22.22,-425.64,2640
25,12,0,-198.26,6.018,313.96,22.25,-437.15,2642
25,12,0,-199.25,6.063,313.97,21.45,-439.63,2643
25,12,0,-198.57,6.096,313.98,20.38,-439.16,2644
25,12,0,-189.27,6.221,314.01,18.12,-428.07,2647
25,12,0,-187.78,6.258,314.02,18.69,-426.49,2648
25,12,-0,-189.51,6.331,314.04,20.98,-432.09,2650
25,12,0,-192.1,6.378,314.05,21.82,-437.72,2651
25,12,0,-194.39,6.414,314.06,22.16,-443.95,2652
25,12,0,-197.44,6.453,314.07,22.02,-449.24,2653
25,12,0,-199.06,6.533,314.09,19.99,-452.83,2655
25,12,0,-196.76,6.577,314.1,18.99,-449.85,2656
25,12,0,-193.53,6.622,314.11,17.42,-445.31,2657
25,12,0,-190.62,6.663,314.12,16.91,-441.13,2658
25,12,-0,-188.13,6.699,314.13,17.02,-439.05,2659
25,12,0,-188.14,6.745,314.14,17.49,-439.85,2660
25,12,0,-197.19,6.891,314.18,19.79,-460.24,2664
25,12,-0,-198.75,6.938,314.19,19.64,-463.82,2665
25,12,0,-198.98,6.98,314.2,18.54,-464.29,2666
25,12,0,-198.03,7.014,314.21,17.19,-461.17,2667
25,12,0,-195.48,7.056,314.22,16.26,-456.35,2668
