RoadSpeed,TirePressure,InclinationAngle,NormalForce,SlipAngle,ElapsedTime,AligningTorque,LateralForce,Index
25,12,4,-150.45,0.736,684.425,27.73,-39.11,16212
25,12,4,-155.16,0.893,684.465,31.33,-54.68,16216
25,12,4,-153.77,0.934,684.475,31.19,-58.32,16217
25,12,4,-152.54,0.971,684.485,31.61,-61.05,16218
25,12,4,-149.58,1.525,684.625,33.48,-106.28,16232
25,12,4,-149.34,1.556,684.635,34.29,-109.57,16233
25,12,4,-149.73,1.601,684.645,35.05,-113.43,16234
25,12,4,-155.37,1.787,684.695,35.39,-132.35,16239
25,12,4,-149.43,1.954,684.735,36.92,-139.7,16243
25,12,4,-154.28,2.258,684.805,35.95,-164.73,16250
25,12,4,-148.27,2.553,684.885,35.91,-181.93,16258
25,12,4,-145.56,2.772,684.945,37.75,-191.67,16264
25,12,4,-143.33,2.855,684.965,38.77,-193.36,16266
25,12,4,-147.02,3.07,685.015,38.64,-211.33,16271
25,12,4,-139.92,4.357,685.335,34.18,-259.47,16303
25,12,4,-141.97,4.394,685.345,34.38,-263.41,16304
25,12,4,-145.74,5.358,685.585,34,-299.34,16328
25,12,4,-143.82,6.407,685.845,29.18,-317.31,16354
25,12,4,-143.42,7.089,686.015,29.33,-332.57,16371
25,12,4,-147.5,8.038,686.255,28.54,-346.62,16395
25,12,4,-145.36,8.336,686.325,24.92,-330.1,16402
25,12,4,-144.89,8.353,686.335,25.36,-333.39,16403
25,12,4,-149.88,8.525,686.375,26.51,-347.55,16407
25,12,4,-150.72,8.598,686.395,25.04,-344.69,16409
25,12,4,-147.77,8.714,686.425,23.68,-332.6,16412
25,12,4,-145.91,8.766,686.435,24.13,-333.01,16413
25,12,4,-150.95,9.084,686.515,23.85,-341.72,16421
25,12,4,-147.97,9.284,686.565,24.66,-328.06,16426
25,12,4,-151.25,10.233,686.805,25.4,-318.07,16450
25,12,4,-152.7,10.279,686.815,25.81,-321.25,16451
25,12,4,-150.04,10.671,686.915,24,-315.35,16461
25,12,4,-154.86,10.796,686.945,24.45,-325.64,16464
25,12,4,-153,11.24,687.055,24.6,-324.05,16475
25,12,4,-153.34,11.73,687.185,17.22,-322.92,16488
25,12,4,-149.27,11.778,687.235,12.47,-307.58,16493
25,12,4,-149.02,11.78,687.245,10.86,-308.55,16494
25,12,4,-148.53,12.208,687.355,27.26,-304.89,16504
25,12,4,-153.23,11.861,687.535,9.55,-321.37,16522
25,12,4,-150.36,11.462,687.625,33.62,-314.91,16531
25,12,4,-151.42,10.834,687.795,17.6,-312.15,16548
25,12,4,-148.19,10.186,687.955,24.88,-316.4,16564
25,12,4,-148.64,9.869,688.035,19.56,-317.45,16572
25,12,4,-147,9.742,688.065,23.17,-318.33,16575
25,12,4,-151.81,9.56,688.105,27.67,-332.2,16579
25,12,4,-145.5,8.871,688.285,23.03,-325.41,16597
25,12,4,-145.41,8.498,688.375,27.1,-334.46,16606
25,12,4,-144.97,7.956,688.515,24.17,-331.37,16620
25,12,4,-148.46,7.825,688.545,27.72,-337.69,16623
25,12,4,-152.36,6.92,688.775,29.05,-329.84,16646
25,12,4,-152.34,6.191,688.955,29.58,-314.13,16664
25,12,4,-152.16,6.161,688.965,29.38,-312.75,16665
25,12,4,-152.93,6.121,688.975,29.51,-312.54,16666
25,12,4,-155.88,4.874,689.285,32.33,-282.22,16697
25,12,4,-158.42,4.047,689.495,35.11,-256.89,16718
25,12,4,-153.73,3.465,689.635,35.31,-226.11,16732
25,12,4,-154.48,3.306,689.675,38.02,-218.61,16736
25,12,4,-156.28,3.081,689.735,35.98,-208.55,16742
25,12,4,-153.5,1.746,690.075,30.38,-118.76,16776
25,12,4,-152.18,1.487,690.135,33.33,-99.11,16782
25,12,4,-148.32,0.8,690.305,28.02,-42.32,16799
25,12,4,-146.92,0.756,690.315,27.05,-38.38,16800
25,12,4,-151.21,0.534,690.375,27.93,-17.77,16806
25,12,4,-148.57,0.359,690.415,26.29,-2.68,16810
25,12,4,-151.14,0.093,690.485,23.96,24.8,16817
25,12,4,-147.62,-1.1,690.785,8.32,142.1,16847
25,12,4,-152.46,-1.441,690.855,14.13,167.72,16854
25,12,4,-150.64,-1.475,690.865,14.95,170.7,16855
25,12,4,-148.77,-2.059,691.025,1.82,208.84,16871
25,12,4,-149.61,-2.376,691.095,5.96,226.13,16878
25,12,4,-148.44,-2.403,691.105,7.21,228.24,16879
25,12,4,-146.68,-3.324,691.335,3.02,268.84,16902
25,12,4,-151.4,-3.629,691.415,4.44,285,16910
25,12,4,-151.25,-3.992,691.505,0.27,296.14,16919
25,12,4,-152.54,-4.028,691.515,-0.26,298.58,16920
25,12,4,-151.9,-4.067,691.525,-0.47,299.48,16921
25,12,4,-149.51,-4.137,691.545,0.36,299.8,16923
25,12,4,-147.22,-4.713,691.685,2.95,315.81,16937
25,12,4,-150.84,-4.867,691.725,1.18,322.54,16941
25,12,4,-149,-5.271,691.825,5.29,329.89,16951
25,12,4,-152.94,-5.4,691.855,4.64,335.26,16954
25,12,4,-150.13,-5.527,691.885,3.91,333.4,16957
25,12,4,-150.72,-5.965,691.995,4.7,340.73,16968
25,12,4,-152.46,-6.269,692.075,5.91,348.75,16976
25,12,4,-152.33,-7.277,692.325,7.95,354.49,17001
25,12,4,-149.92,-7.346,692.345,8.51,350.46,17003
25,12,4,-149.09,-7.52,692.385,10.19,355.52,17007
25,12,4,-152.95,-7.635,692.415,9.61,361.04,17010
25,12,4,-149.23,-7.838,692.465,9.34,353.53,17015
25,12,4,-148.58,-7.868,692.475,9.96,354.26,17016
25,12,4,-149.34,-7.944,692.495,11.01,357.25,17018
25,12,4,-153.85,-8.162,692.545,10.22,362.52,17023
25,12,4,-153.66,-8.606,692.655,11.05,364.2,17034
25,12,4,-151.36,-9.399,692.855,12.8,366.07,17054
25,12,4,-152.29,-9.436,692.865,12.37,367.83,17055
25,12,4,-154.34,-9.516,692.885,12.06,365.33,17057
25,12,4,-150.11,-9.8,692.955,13.56,363.37,17064
25,12,4,-153.05,-10.036,693.015,12.03,360.27,17070
25,12,4,-151.15,-10.562,693.145,13.19,357.84,17083
25,12,4,-151.07,-10.718,693.185,14.85,360.77,17087
25,12,4,-152.69,-10.798,693.205,13.82,364.59,17089
25,12,4,-154.31,-10.832,693.215,13.6,365.17,17090
25,12,4,-155.3,-11.345,693.345,14.14,362.12,17103
25,12,4,-151.05,-11.512,693.385,14.17,353.78,17107
25,12,4,-152.5,-11.654,693.425,19.27,360.39,17111
25,12,4,-151.36,-12.201,693.515,31.78,357.99,17119
25,12,4,-151.73,-12.194,693.525,31.74,359.55,17120
25,12,4,-152.77,-12.204,693.535,29.07,360.87,17121
25,12,4,-151.97,-12.132,693.625,5.74,354.78,17130
25,12,4,-155.07,-12.109,693.705,24.32,356.52,17138
25,12,4,-152.7,-11.952,693.755,45.37,354.61,17143
25,12,4,-155.24,-11.81,693.785,29.77,359.45,17146
25,12,4,-152.2,-11.491,693.845,4.72,351.54,17152
25,12,4,-152.1,-11.469,693.855,2.9,351.85,17153
25,12,4,-154.76,-10.917,694.015,23.11,359.75,17169
25,12,4,-152.02,-10.141,694.195,8.5,352.15,17187
25,12,4,-155.33,-9.98,694.245,14.72,360.1,17192
25,12,4,-151.93,-9.737,694.305,19.33,353.22,17198
25,12,4,-152.77,-8.869,694.525,14.96,351.56,17220
25,12,4,-152.93,-8.228,694.675,7.04,350.65,17235
25,12,4,-158.42,-7.665,694.825,13.67,352.84,17250
25,12,4,-155.92,-7.102,694.965,5.81,344.94,17264
