RoadSpeed,TirePressure,InclinationAngle,NormalForce,SlipAngle,ElapsedTime,AligningTorque,LateralForce,Index,SourceFile
25,12,4,-247.79,8.142,753.893,43.06,-546.7,18888,R20MZ_FZ_250_IA-4_filtered
25,12,4,-247.33,-10.374,760.703,8.93,587.66,19568,R20MZ_FZ_250_IA-4_filtered
25,12,4,-246.86,9.258,754.173,36.5,-535.71,18916,R20MZ_FZ_250_IA-4_filtered
25,12,4,-246.66,-4.326,759.193,-12.04,452.39,19417,R20MZ_FZ_250_IA-4_filtered
25,12,4,-245.53,-0.763,758.313,15.03,178.49,19329,R20MZ_FZ_250_IA-4_filtered
25,12,4,-244.88,2.16,752.394,58.03,-191.26,18738,R20MZ_FZ_250_IA-4_filtered
25,12,4,-244.85,-5.251,759.423,-11.44,491.31,19440,R20MZ_FZ_250_IA-4_filtered
25,12,4,-244.71,8.263,753.924,39.02,-529.16,18891,R20MZ_FZ_250_IA-4_filtered
25,12,4,-244.2,-9.483,760.483,6.23,584.05,19546,R20MZ_FZ_250_IA-4_filtered
25,12,4,-244.17,8.815,754.063,39.27,-538.84,18905,R20MZ_FZ_250_IA-4_filtered
25,12,4,-243.95,-6.17,759.653,-9.01,520.47,19463,R20MZ_FZ_250_IA-4_filtered
25,12,4,-243.88,-0.145,758.143,30.3,93.53,19312,R20MZ_FZ_250_IA-4_filtered
25,12,4,-243.73,-3.555,759.003,-11.22,413.85,19398,R20MZ_FZ_250_IA-4_filtered
25,12,4,-243.05,-4.434,759.223,-13.71,460.12,19420,R20MZ_FZ_250_IA-4_filtered
25,12,4,-243,-7.446,759.973,-2.14,555.68,19495,R20MZ_FZ_250_IA-4_filtered
25,12,4,-242.49,-5.328,759.443,-12.02,495.06,19442,R20MZ_FZ_250_IA-4_filtered
25,12,4,-242.1,-5.176,759.403,-10.53,488.65,19438,R20MZ_FZ_250_IA-4_filtered
25,12,4,-242.06,2.6,752.514,61.24,-239.93,18750,R20MZ_FZ_250_IA-4_filtered
25,12,4,-242.06,7.346,753.693,43.8,-515.2,18868,R20MZ_FZ_250_IA-4_filtered
25,12,4,-241.84,-0.513,758.233,25.39,141.58,19321,R20MZ_FZ_250_IA-4_filtered
25,12,4,-241.8,-8.687,760.283,3.52,579.24,19526,R20MZ_FZ_250_IA-4_filtered
25,12,4,-241.26,-5.616,759.513,-9.61,504.13,19449,R20MZ_FZ_250_IA-4_filtered
25,12,4,-241.25,-4.692,759.283,-11.35,470.1,19426,R20MZ_FZ_250_IA-4_filtered
25,12,4,-240.91,-0.54,758.243,24.62,146.5,19322,R20MZ_FZ_250_IA-4_filtered
25,12,4,-240.76,-8.581,760.253,2.63,575.92,19523,R20MZ_FZ_250_IA-4_filtered
25,12,4,-240.69,7.538,753.744,45.5,-525.72,18873,R20MZ_FZ_250_IA-4_filtered
25,12,4,-240.28,-6.052,759.623,-8.56,518.68,19460,R20MZ_FZ_250_IA-4_filtered
25,12,4,-240.24,-7.375,759.953,-2.69,555.2,19493,R20MZ_FZ_250_IA-4_filtered
25,12,4,-240.11,-5.375,759.453,-11.6,496.93,19443,R20MZ_FZ_250_IA-4_filtered
25,12,4,-240.03,-5.123,759.393,-11.05,488.06,19437,R20MZ_FZ_250_IA-4_filtered
25,12,4,-239.36,3.19,752.654,58.02,-292.9,18764,R20MZ_FZ_250_IA-4_filtered
25,12,4,-239.24,7.495,753.734,45.09,-518.65,18872,R20MZ_FZ_250_IA-4_filtered
25,12,4,-239.22,-4.164,759.153,-10.85,448.84,19413,R20MZ_FZ_250_IA-4_filtered
25,12,4,-238.51,4.455,752.974,58.52,-386.64,18796,R20MZ_FZ_250_IA-4_filtered
25,12,4,-238.32,-6.883,759.833,-4.63,544.52,19481,R20MZ_FZ_250_IA-4_filtered
25,12,4,-237.86,-6.436,759.723,-7.18,532.06,19470,R20MZ_FZ_250_IA-4_filtered
25,12,4,-237.42,-5.491,759.483,-9.96,503.14,19446,R20MZ_FZ_250_IA-4_filtered
25,12,4,-237.33,-6.397,759.713,-7.69,531.88,19469,R20MZ_FZ_250_IA-4_filtered
25,12,4,-237.05,-6.843,759.823,-4.78,544.45,19480,R20MZ_FZ_250_IA-4_filtered
25,12,4,-236.02,4.41,752.964,57.86,-380.88,18795,R20MZ_FZ_250_IA-4_filtered
25,12,4,-235.4,6.454,753.474,48.51,-488.44,18846,R20MZ_FZ_250_IA-4_filtered
25,12,4,-231.5,5.128,753.143,52.88,-423.91,18813,R20MZ_FZ_250_IA-4_filtered
25,12,4,-214.73,5.116,655.426,48.02,-373.82,15444,R20MZ_FZ_200_IA-4_filtered
25,12,4,-214.4,5.152,655.416,48.03,-374.77,15443,R20MZ_FZ_200_IA-4_filtered
25,12,4,-214.37,4.207,655.656,50.2,-330.19,15467,R20MZ_FZ_200_IA-4_filtered
25,12,4,-214.08,5.613,655.306,46.61,-393.58,15432,R20MZ_FZ_200_IA-4_filtered
25,12,4,-214.01,2.87,655.996,51.25,-235.6,15501,R20MZ_FZ_200_IA-4_filtered
25,12,4,-213.75,5.56,655.316,46.16,-392.05,15433,R20MZ_FZ_200_IA-4_filtered
25,12,4,-213.39,2.944,655.976,52.05,-240.29,15499,R20MZ_FZ_200_IA-4_filtered
25,12,4,-213.31,-5.671,661.536,0.23,423.88,16054,R20MZ_FZ_200_IA-4_filtered
25,12,4,-213.08,4.287,655.636,51.06,-331.66,15465,R20MZ_FZ_200_IA-4_filtered
25,12,4,-212.88,4.183,655.666,49.3,-326.86,15468,R20MZ_FZ_200_IA-4_filtered
25,12,4,-212.53,-2.472,662.336,2.72,281.64,16134,R20MZ_FZ_200_IA-4_filtered
25,12,4,-212.46,5.206,655.406,48.24,-374.42,15442,R20MZ_FZ_200_IA-4_filtered
25,12,4,-212.19,-2.557,662.316,2.42,286.1,16132,R20MZ_FZ_200_IA-4_filtered
25,12,4,-211.96,-4.727,661.776,-2.5,393.97,16078,R20MZ_FZ_200_IA-4_filtered
25,12,4,-211.92,-5.702,661.526,1.05,424.56,16053,R20MZ_FZ_200_IA-4_filtered
25,12,4,-211.89,-5.154,661.666,-2.07,407.49,16067,R20MZ_FZ_200_IA-4_filtered
25,12,4,-211.74,-6.145,661.416,0.69,436.05,16042,R20MZ_FZ_200_IA-4_filtered
25,12,4,-211.73,6.525,655.076,43.77,-427.93,15409,R20MZ_FZ_200_IA-4_filtered
25,12,4,-211.53,6.123,655.176,44.98,-413.02,15419,R20MZ_FZ_200_IA-4_filtered
25,12,4,-210.69,4.142,655.676,48.47,-322.65,15469,R20MZ_FZ_200_IA-4_filtered
25,12,4,-210.6,-5.75,661.516,2.12,424.79,16052,R20MZ_FZ_200_IA-4_filtered
25,12,4,-210.51,-6.032,661.446,1.01,432.26,16045,R20MZ_FZ_200_IA-4_filtered
25,12,4,-210.21,2.009,656.206,49.91,-158.62,15522,R20MZ_FZ_200_IA-4_filtered
25,12,4,-210.06,-4.394,661.856,-3.33,380.63,16086,R20MZ_FZ_200_IA-4_filtered
25,12,4,-209.79,5.927,655.226,41.44,-402.39,15424,R20MZ_FZ_200_IA-4_filtered
25,12,4,-209.64,-2.163,662.416,6.04,258.59,16142,R20MZ_FZ_200_IA-4_filtered
25,12,4,-209.52,6.39,655.106,42.79,-420.44,15412,R20MZ_FZ_200_IA-4_filtered
