AmbientRoomTemperature,ElapsedTime,LongitudinalForce,LateralForce,NormalForce,InclinationAngle,OverturningMoment,AligningTorque,WheelRotationalSpeed,NormalizedLongitudinalForce(FX/FZ),NormalizedLateralForce(FY/FZ),TirePressure,EffectiveRadius,LoadedRadius,RoadSurfaceTemperature,SlipAngle,SlipRatioTextbook,SlipRatioBasedOnRL,TireSurfaceTemperature-Center,TireSurfaceTemperature-Inboard,TireSurfaceTemperature-Outboard,RoadSpeed,testid,tireid,Index
78.61,1056.444,1.14,-240.36,-92.71,0.009,3.03,5.34,0.16,-0.0122,2.5926,10.02,25542.1,7.8,93.81,6.852,-0,-0.9997,124.41,125.08,127.83,24.96,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",27579
78.59,1056.454,-0.26,-244.05,-92.72,-0.002,2.42,6.01,0.16,0.0028,2.6323,10.02,25522.56,7.8,93.79,6.884,-0,-0.9997,124.56,125.23,127.85,24.94,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",27580
78.58,1056.464,-1.62,-249.37,-94.97,0.006,2.6,6.46,0.09,0.0171,2.6258,10.02,43967.39,7.8,93.78,6.938,-0,-0.9998,124.82,125.32,127.89,24.94,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",27581
78.61,1056.474,-2.59,-254.32,-96.67,-0.005,1.77,6.8,-0.04,0.0268,2.6308,10.03,-98716.27,7.81,93.77,6.961,-0,-1.0001,124.97,125.34,127.93,24.96,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",27582
78.61,1056.484,-2.51,-259.02,-99.01,0.001,0.69,7.09,0.16,0.0254,2.6161,10.03,25556.78,7.8,93.76,7.014,-0,-0.9997,125.01,125.39,127.99,24.98,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",27583
78.58,1056.494,-1.82,-262.15,-101.19,0.006,0.1,6.96,0.09,0.0179,2.5907,10.03,44048.92,7.8,93.75,7.045,-0,-0.9998,125.04,125.43,128.03,24.99,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",27584
78.59,1056.504,-0.48,-262.31,-102.1,0.006,0.34,6.6,0.09,0.0047,2.5691,10.03,44023.71,7.8,93.75,7.094,-0,-0.9998,124.99,125.39,128.13,24.98,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",27585
78.62,1056.514,0.4,-259.82,-101.69,0.007,0.58,5.39,0.03,-0.0039,2.5552,10.03,158704.39,7.8,93.76,7.14,-0,-1,125.01,125.45,128.13,24.96,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",27586
78.59,1056.524,1.18,-254.37,-99.72,0.006,1.08,4.32,0.09,-0.0119,2.5508,10.03,43935.2,7.8,93.74,7.163,-0,-0.9998,125.1,125.5,128.13,24.93,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",27587
78.57,1056.534,1.85,-248.43,-96.81,-0,1.81,4.16,0.16,-0.0191,2.5662,10.04,25486.1,7.8,93.71,7.213,-0,-0.9997,125.16,125.54,128.07,24.92,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",27588
78.6,1056.544,2.06,-244.2,-94.48,-0.003,2.46,4.26,0.16,-0.0218,2.5847,10.02,25472.33,7.8,93.71,7.246,-0,-0.9997,125.16,125.54,128.03,24.91,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",27589
78.6,1056.554,1.16,-243.26,-93.46,-0.003,3.46,4.5,0.09,-0.0124,2.6027,10.03,43903.04,7.8,93.74,7.28,-0,-0.9998,125.21,125.61,127.95,24.92,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",27590
78.58,1056.564,0.08,-245.74,-92.94,-0.005,3.15,5.15,0.03,-0.0008,2.6441,10.02,158450.73,7.8,93.78,7.332,-0,-1,125.4,125.72,127.93,24.93,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",27591
78.59,1056.574,-1.46,-250.45,-94.32,0.006,2.68,5.78,0.09,0.0155,2.6554,10.05,43935.17,7.8,93.77,7.366,-0,-0.9998,125.59,125.8,127.99,24.94,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",27592
78.61,1056.584,-2.71,-255.7,-96.28,-0.006,2.15,6.06,0.09,0.0281,2.6557,10.03,43910.36,7.8,93.78,7.409,-0,-0.9998,125.77,125.85,128.01,24.93,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",27593
78.59,1056.594,-3.13,-260.6,-98.76,0.01,1.2,6.4,0.03,0.0317,2.6387,10.04,158590.52,7.8,93.74,7.452,-0,-1,125.85,125.85,128.07,24.96,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",27594
78.58,1056.604,-2.44,-264.32,-100.98,0.006,0.54,6.56,0.09,0.0241,2.6175,10.05,43954.02,7.8,93.72,7.481,-0,-0.9998,125.92,125.85,128.07,24.96,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",27595
78.61,1056.614,-1.59,-265.57,-101.86,0.004,-0.19,5.89,0.23,0.0156,2.6072,10.05,17994.13,7.8,93.73,7.534,-0,-0.9996,125.96,125.83,128.15,25,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",27596
78.62,1056.624,-0.4,-263.52,-102.06,-0.002,0.21,4.92,0.16,0.0039,2.5821,10.03,25554.05,7.8,93.71,7.565,-0,-0.9997,125.94,125.83,128.15,25.01,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",27597
78.58,1056.634,0.57,-257.94,-100.5,0.004,0.88,3.92,0.03,-0.0057,2.5665,10.01,158791.73,7.8,93.7,7.602,-0,-1,125.96,125.85,128.17,25,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",27598
78.59,1056.644,1.83,-251.54,-98.26,0.001,1.76,3.78,0.09,-0.0186,2.56,10.03,43987.18,7.8,93.7,7.651,-0,-0.9998,126,125.91,128.07,24.99,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",27599
78.61,1056.654,2.04,-246.89,-95.85,0.009,2.6,3.6,0.09,-0.0213,2.5758,10.02,43983.99,7.8,93.64,7.681,-0,-0.9998,126,125.96,127.99,24.99,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",27600
78.6,1056.664,1.8,-245.16,-93.46,0.007,2.8,3.96,0.09,-0.0192,2.6231,10.02,43968.75,7.8,93.6,7.728,-0,-0.9998,126.09,126.02,127.89,24.98,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",27601
78.57,1056.674,1.2,-247.21,-93.65,0.014,3.32,4.95,0.16,-0.0129,2.6396,10.02,25530.11,7.8,93.56,7.761,-0,-0.9997,126.19,126.16,127.83,25,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",27602
78.6,1056.684,-0.36,-251.68,-94.48,0.004,3.37,5.28,0.03,0.0038,2.6638,10.02,158636.47,7.8,93.56,7.814,-0,-1,126.39,126.33,127.83,24.98,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",27603
78.61,1056.694,-1.49,-256.97,-96.33,0.004,2.68,6.16,0.03,0.0154,2.6676,10.04,158477.52,7.8,93.51,7.844,-0,-1,126.58,126.51,127.83,24.96,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",27604
78.58,1056.704,-2.69,-262.13,-98.83,0.009,1.92,6.1,-0.04,0.0272,2.6524,10.02,-98501.52,7.8,93.49,7.892,-0,-1.0001,126.67,126.49,127.85,24.96,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",27605
78.58,1056.714,-2.16,-266,-100.27,-0.002,0.19,6.72,0.09,0.0216,2.6529,10.03,43916.91,7.8,93.49,7.925,-0,-0.9998,126.69,126.49,127.89,24.97,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",27606
78.61,1056.724,-1.72,-267.41,-101.73,-0.002,0.1,6.08,0.09,0.017,2.6285,10.03,43952.5,7.8,93.48,7.972,-0,-0.9998,126.75,126.49,128.01,24.99,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",27607
