AmbientRoomTemperature,ElapsedTime,LongitudinalForce,LateralForce,NormalForce,InclinationAngle,OverturningMoment,AligningTorque,WheelRotationalSpeed,NormalizedLongitudinalForce(FX/FZ),NormalizedLateralForce(FY/FZ),TirePressure,EffectiveRadius,LoadedRadius,RoadSurfaceTemperature,SlipAngle,SlipRatioTextbook,SlipRatioBasedOnRL,TireSurfaceTemperature-Center,TireSurfaceTemperature-Inboard,TireSurfaceTemperature-Outboard,RoadSpeed,testid,tireid,Index
78.4,616.747,-7.39,-29.81,-96.39,1.999,-9.28,15.44,0.03,0.0767,0.3092,11.96,160009.53,7.86,91.15,0.452,-0,-1,123.19,124.7,123.77,24.96,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",13714
78.42,616.757,-7.76,-33.78,-98.39,1.995,-10.32,15.5,0.09,0.0789,0.3433,12,44370.59,7.86,91.16,0.486,-0,-0.9998,123.21,124.72,123.81,24.97,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",13715
78.39,616.767,-7.72,-37.62,-100.81,2.002,-10.61,15.26,0.09,0.0765,0.3732,12.06,44390.7,7.86,91.14,0.538,-0,-0.9998,123.17,124.66,123.77,24.98,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",13716
78.37,616.777,-7.15,-41.45,-102.63,2.004,-10.68,14.4,0.03,0.0697,0.4039,12.11,160191.52,7.86,91.17,0.566,-0,-1,123.17,124.59,123.75,24.98,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",13717
78.41,616.787,-6.45,-44.63,-103.23,1.989,-9.92,13.1,0.09,0.0625,0.4323,12.07,44379.59,7.87,91.15,0.618,-0,-0.9998,123.11,124.53,123.73,24.98,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",13718
78.4,616.797,-5.7,-48.09,-102.12,1.995,-10.41,11.76,0.09,0.0558,0.4709,12.03,44358.6,7.86,91.14,0.654,-0,-0.9998,123.11,124.5,123.69,24.97,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",13719
78.37,616.807,-4.77,-50.52,-100.14,2.008,-10.46,11.34,0.03,0.0476,0.5045,11.96,160074.89,7.86,91.1,0.697,-0,-1,123.06,124.48,123.67,24.97,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",13720
78.38,616.817,-4.13,-52.82,-98.87,1.995,-9.43,11.69,0.03,0.0418,0.5343,11.9,160110.44,7.86,91.06,0.734,-0,-1,122.95,124.44,123.63,24.97,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",13721
78.4,616.827,-4.24,-55.67,-97.6,1.999,-9.73,12.78,0.03,0.0435,0.5704,11.92,160145.44,7.86,91.04,0.781,-0,-1,122.87,124.39,123.63,24.98,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",13722
78.38,616.837,-5.02,-58.5,-97.66,2.008,-9.17,14.05,0.03,0.0514,0.599,11.98,160069.75,7.86,91.02,0.81,-0,-1,122.87,124.42,123.63,24.97,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",13723
78.36,616.847,-6.39,-62.14,-98.86,1.993,-9.26,15.2,0.09,0.0647,0.6285,12.06,44376.71,7.86,91.01,0.851,-0,-0.9998,122.89,124.37,123.73,24.98,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",13724
78.39,616.857,-7.58,-66,-100.34,1.998,-9.83,16.47,0.16,0.0755,0.6578,12.14,25762.76,7.86,91.06,0.892,-0,-0.9997,122.95,124.37,123.81,24.98,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",13725
