RoadSpeed,TirePressure,InclinationAngle,NormalForce,SlipAngle,ElapsedTime,AligningTorque,LateralForce,Index
25,12,2,-207.56,0.584,481.6,24.69,-42.77,8735
25,12,2,-203.38,1.202,481.76,34.37,-120.9,8751
25,12,2,-198.53,1.832,481.92,35.62,-187.14,8767
25,12,2,-194.5,2.273,482.02,36.04,-222.14,8777
25,12,2,-192.49,3.844,482.42,38.3,-332.64,8817
25,12,2,-184.91,4.45,482.57,33.59,-355.83,8832
25,12,2,-190.71,4.816,482.66,32.69,-378.62,8841
25,12,2,-195.3,5.21,482.76,33.5,-400.52,8851
25,12,2,-197.85,6.535,483.09,30.62,-447.46,8884
25,12,2,-199.56,7.447,483.32,27.33,-465.39,8907
25,12,2,-193.33,8.173,483.5,26.09,-470.06,8925
25,12,2,-197.31,8.685,483.63,25.23,-482.84,8938
25,12,2,-197.9,9.372,483.8,19.51,-473.47,8955
25,12,2,-195.77,9.977,483.95,20.48,-480.68,8970
25,12,2,-204.62,11.537,484.34,16.74,-487.74,9009
25,12,2,-200.1,12.284,484.52,9.67,-476.98,9026
25,12,2,-198.37,10.493,485.09,21.89,-472.37,9083
25,12,2,-199.25,9.231,485.41,20.21,-470.8,9115
25,12,2,-197.95,9.191,485.42,20.36,-470.53,9116
25,12,2,-205.67,8.113,485.69,24.64,-470.49,9143
25,12,2,-207.52,1.236,487.41,30.71,-118.15,9315
25,12,2,-198,0.942,487.48,27.79,-81.78,9322
25,12,2,-198.41,-2.798,488.42,-16.11,310.93,9416
25,12,2,-195.66,-3.199,488.52,-15.95,334.27,9426
25,12,2,-190.07,-4.353,488.81,-17.45,392.64,9455
25,12,2,-197.05,-8.368,489.81,-4.87,473.31,9555
25,12,2,-196.16,-8.409,489.82,-4.28,473.78,9556
25,12,2,-195.23,-8.446,489.83,-3.61,474.67,9557
25,12,2,-195.15,-8.488,489.84,-3.21,476.06,9558
25,12,2,-196.29,-8.565,489.86,-2.24,479.79,9560
25,12,2,-200.4,-8.687,489.89,-2.97,483.64,9563
25,12,2,-200.63,-8.723,489.9,-3.26,482.08,9564
25,12,2,-200.37,-8.761,489.91,-3.28,479.12,9565
25,12,2,-199.4,-8.796,489.92,-3.73,476.78,9566
25,12,2,-197.26,-8.837,489.93,-3.09,475.78,9567
25,12,2,-195.38,-8.966,489.96,-2.25,480.56,9570
25,12,2,-195.34,-9.006,489.97,-1.98,482.08,9571
25,12,2,-197.55,-9.036,489.98,-1.59,483.53,9572
25,12,2,-198.58,-9.079,489.99,-1.49,484.19,9573
25,12,2,-200.75,-9.122,490,-1.99,484.26,9574
25,12,2,-202.01,-9.151,490.01,-2.2,482.88,9575
25,12,2,-197.23,-9.328,490.05,-1.63,477.83,9579
25,12,2,-195.66,-9.357,490.06,-0.6,478.83,9580
25,12,2,-195.74,-9.394,490.07,-0.5,479.77,9581
25,12,2,-197.14,-9.484,490.09,0.38,482.15,9583
25,12,2,-198.46,-9.527,490.1,0,483.25,9584
25,12,2,-201.9,-9.646,490.13,-0.65,483.05,9587
25,12,2,-201.18,-9.692,490.14,-1.06,480.85,9588
25,12,2,-199.46,-9.729,490.15,-0.85,479.11,9589
25,12,2,-198.08,-9.758,490.16,-0.56,478.46,9590
25,12,2,-196.02,-9.801,490.17,-0.21,478.56,9591
25,12,2,-196.35,-9.845,490.18,0.44,479.33,9592
25,12,2,-196.21,-9.892,490.19,0.56,480.42,9593
25,12,2,-200.1,-10.001,490.22,1.07,484.08,9596
25,12,2,-201.07,-10.041,490.23,0.76,484.56,9597
25,12,2,-202.53,-10.084,490.24,-0.11,483.85,9598
25,12,2,-201.91,-10.123,490.25,-0.28,482.29,9599
25,12,2,-200.57,-10.164,490.26,-0.25,479.75,9600
25,12,2,-199.04,-10.209,490.27,-0.23,478.02,9601
25,12,2,-196.97,-10.252,490.28,0.41,477.34,9602
25,12,2,-196.8,-10.369,490.31,2.34,479.63,9605
25,12,2,-197.55,-10.402,490.32,2.72,480.91,9606
25,12,2,-199.02,-10.449,490.33,2.56,482.65,9607
25,12,2,-200.49,-10.49,490.34,2.79,484.23,9608
25,12,2,-201.46,-10.522,490.35,1.51,483.8,9609
25,12,2,-197.98,-10.676,490.39,1.61,476.45,9613
25,12,2,-197.05,-10.723,490.4,1.52,475.62,9614
25,12,2,-196.44,-10.757,490.41,1.91,475.92,9615
25,12,2,-196.5,-10.8,490.42,2.34,477.31,9616
25,12,2,-197.25,-10.836,490.43,3.1,478.73,9617
25,12,2,-203.03,-10.999,490.47,2.47,479.19,9621
25,12,2,-202.36,-11.032,490.48,2,476.83,9622
25,12,2,-200.65,-11.075,490.49,2.12,473.86,9623
25,12,2,-199.63,-11.118,490.5,1.88,472.45,9624
25,12,2,-198.18,-11.152,490.51,2.94,472.23,9625
25,12,2,-200.19,-11.351,490.56,4.87,478.31,9630
25,12,2,-202.17,-11.406,490.57,4.21,478.69,9631
25,12,2,-202.46,-11.44,490.58,3.79,478.08,9632
25,12,2,-202.64,-11.483,490.59,3.3,476.22,9633
25,12,2,-202.13,-11.518,490.6,3.26,473.73,9634
25,12,2,-199.1,-11.621,490.63,8.18,471,9637
25,12,2,-199.75,-11.642,490.64,11.63,472.14,9638
25,12,2,-200.02,-11.662,490.65,15.45,473.21,9639
25,12,2,-200.21,-11.678,490.66,17.45,474.27,9640
25,12,2,-200.9,-11.692,490.67,17.1,475.51,9641
25,12,2,-202.11,-11.694,490.68,16.44,477.11,9642
25,12,2,-202.98,-11.702,490.69,15.95,478.2,9643
25,12,2,-201.79,-12.273,490.72,21.43,475.12,9645
25,12,2,-200.9,-12.266,490.73,20.93,473.7,9646
25,12,2,-199.98,-12.273,490.74,18.27,472.44,9647
25,12,2,-199.27,-12.253,490.75,15.04,471.48,9648
25,12,2,-199.45,-12.244,490.76,11.95,471.8,9649
25,12,2,-199.95,-12.231,490.77,9.57,473.36,9650
25,12,2,-201.03,-12.217,490.78,7.25,475.1,9651
25,12,2,-204.33,-12.196,490.81,-0.28,479.69,9654
25,12,2,-204.47,-12.186,490.82,-3.51,478.45,9655
25,12,2,-204.03,-12.194,490.83,-6.16,475.99,9656
25,12,2,-202.13,-12.186,490.84,-6.85,473.46,9657
25,12,2,-200.64,-12.201,490.85,-6.18,471.7,9658
25,12,2,-199.93,-12.194,490.86,-3.99,471.03,9659
25,12,2,-201.41,-12.188,490.9,8.7,476.49,9663
25,12,2,-203,-12.176,490.91,14.6,477.92,9664
25,12,2,-204.14,-12.158,490.92,19.93,478.43,9665
25,12,2,-204.81,-12.128,490.93,24.86,477.36,9666
25,12,2,-204.2,-12.117,490.94,29.08,474.87,9667
25,12,2,-203.2,-12.067,490.95,32.81,472.21,9668
25,12,2,-199.6,-11.921,490.98,28.48,467.43,9671
25,12,2,-199.9,-11.869,490.99,22.08,468.54,9672
25,12,2,-200.69,-11.769,491.01,9.77,472.29,9674
25,12,2,-201.36,-11.723,491.02,6.16,474.49,9675
25,12,2,-203.3,-11.657,491.03,2.94,475.8,9676
25,12,2,-204.16,-11.571,491.05,-5.21,474.12,9678
25,12,2,-203.23,-11.517,491.06,-8.79,471.45,9679
25,12,2,-202.04,-11.481,491.07,-9.39,469.41,9680
25,12,2,-200.48,-11.447,491.08,-7.9,467.82,9681
25,12,2,-199.47,-11.411,491.09,-6.1,467.17,9682
25,12,2,-199.52,-11.374,491.1,-5.13,468.41,9683
25,12,2,-199.83,-11.324,491.12,-4.66,472.77,9685
25,12,2,-200.91,-11.286,491.13,-3.22,474.49,9686
25,12,2,-202.15,-11.259,491.14,-1.51,476.09,9687
25,12,2,-203.48,-11.215,491.15,-0.07,475.8,9688
25,12,2,-203.63,-11.183,491.16,0.45,474.24,9689
25,12,2,-203.33,-11.152,491.17,0.61,471.6,9690
25,12,2,-202.14,-11.12,491.18,2.22,469.24,9691
25,12,2,-200.53,-11.082,491.19,4.35,468.11,9692
25,12,2,-198.62,-11.017,491.21,9.88,469.61,9694
25,12,2,-198.18,-10.979,491.22,11.48,471.77,9695
25,12,2,-199.01,-10.933,491.23,12.98,473.18,9696
25,12,2,-199.34,-10.894,491.24,12.7,474.42,9697
25,12,2,-201.44,-10.851,491.25,11.89,475.7,9698
25,12,2,-202.71,-10.808,491.26,9.93,475.6,9699
25,12,2,-203.72,-10.749,491.27,7.35,474.85,9700
25,12,2,-204.04,-10.699,491.28,5.13,473.15,9701
25,12,2,-201,-10.605,491.3,1.96,470.46,9703
25,12,2,-197.87,-10.507,491.32,-0.71,470.07,9705
25,12,2,-198.06,-10.475,491.33,-1.51,471.01,9706
25,12,2,-198.48,-10.419,491.34,-1.86,472.09,9707
25,12,2,-200.82,-10.334,491.36,-4.08,473.86,9709
25,12,2,-204.09,-10.237,491.39,-5.89,474.72,9712
25,12,2,-203.21,-10.195,491.4,-5.24,473.47,9713
25,12,2,-201.53,-10.18,491.41,-3.61,471.72,9714
25,12,2,-199.65,-10.135,491.42,-3.23,470.29,9715
25,12,2,-198.68,-10.109,491.43,-2.37,469.8,9716
25,12,2,-198.17,-10.079,491.44,-0.58,469.93,9717
25,12,2,-202.58,-9.938,491.48,7.15,474.81,9721
25,12,2,-203.6,-9.889,491.49,7.79,475.48,9722
25,12,2,-204.24,-9.847,491.5,7.96,475.66,9723
25,12,2,-203.8,-9.8,491.51,7.9,474.1,9724
25,12,2,-202.22,-9.766,491.52,6.5,472.19,9725
25,12,2,-200.36,-9.723,491.53,4.94,470.3,9726
25,12,2,-198.95,-9.572,491.56,0.68,469.17,9729
25,12,2,-200.15,-9.491,491.58,-0.99,471.05,9731
25,12,2,-201.36,-9.439,491.59,-2.65,472.64,9732
25,12,2,-202.68,-9.393,491.6,-4.53,474.37,9733
25,12,2,-203.77,-9.356,491.61,-5.8,474.57,9734
25,12,2,-203.84,-9.318,491.62,-6.33,473.8,9735
25,12,2,-201.12,-9.235,491.64,-7.36,469.87,9737
25,12,2,-199.6,-9.204,491.65,-7.33,468.42,9738
25,12,2,-199.25,-9.16,491.66,-6.5,467.8,9739
25,12,2,-199.56,-9.137,491.67,-5.7,468.28,9740
25,12,2,-199.55,-9.104,491.68,-4.81,468.71,9741
25,12,2,-200.67,-9.07,491.69,-3.12,469.96,9742
25,12,2,-201.87,-9.04,491.7,-1.68,471.39,9743
