AmbientRoomTemperature,ElapsedTime,LongitudinalForce,LateralForce,NormalForce,InclinationAngle,OverturningMoment,AligningTorque,WheelRotationalSpeed,NormalizedLongitudinalForce(FX/FZ),NormalizedLateralForce(FY/FZ),TirePressure,EffectiveRadius,LoadedRadius,RoadSurfaceTemperature,SlipAngle,SlipRatioTextbook,SlipRatioBasedOnRL,TireSurfaceTemperature-Center,TireSurfaceTemperature-Inboard,TireSurfaceTemperature-Outboard,RoadSpeed,testid,tireid,Index
78.23,481.58,-11.71,-29.68,-203.12,1.996,-12.37,23.86,0.09,0.0577,0.1461,11.95,44297.84,7.67,91.54,0.485,-0,-0.9998,119.56,121.18,119.22,24.93,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",8733
78.23,481.59,-12.34,-36.13,-204.69,1.979,-13.57,24.14,0.09,0.0603,0.1765,12.03,44286.98,7.67,91.55,0.539,-0,-0.9998,119.54,121.09,119.24,24.93,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",8734
78.27,481.6,-12.09,-42.77,-207.56,2.004,-13.9,24.69,0.09,0.0582,0.2061,12.11,44307.09,7.67,91.56,0.584,-0,-0.9998,119.56,121.03,119.24,24.94,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",8735
78.25,481.61,-11.29,-49.06,-209.52,1.993,-14.05,24.7,-0.04,0.0539,0.2342,12.17,-99413.65,7.67,91.6,0.624,-0,-1.0001,119.59,121.07,119.2,24.94,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",8736
78.24,481.62,-10.19,-55.25,-210.06,1.998,-13.81,24.21,0.03,0.0485,0.263,12.18,159997.84,7.67,91.64,0.687,-0,-1,119.59,121,119.16,24.96,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",8737
78.26,481.63,-8.63,-60.26,-208.48,1.999,-13.47,24.12,0.09,0.0414,0.289,12.09,44398.23,7.67,91.65,0.711,-0,-0.9998,119.59,120.96,119.12,24.99,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",8738
78.27,481.64,-7.96,-65.27,-206.43,1.998,-12.81,23.41,0.09,0.0386,0.3162,12,44397.64,7.67,91.68,0.756,-0,-0.9998,119.52,120.98,119.1,24.99,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",8739
78.24,481.65,-8.11,-69.36,-203.76,1.99,-12.18,22.92,0.23,0.0398,0.3404,11.94,18139.9,7.67,91.69,0.791,-0,-0.9996,119.48,120.98,119.02,24.97,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",8740
78.25,481.66,-9,-72.99,-201.5,1.993,-11.35,23.12,0.03,0.0447,0.3622,11.92,160064.69,7.67,91.65,0.839,-0,-1,119.44,121,118.94,24.97,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",8741
78.27,481.67,-9.72,-77.5,-201.11,1.992,-10.22,24.6,0.09,0.0483,0.3853,11.98,44334.19,7.67,91.64,0.872,-0,-0.9998,119.48,120.98,118.92,24.96,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",8742
78.27,481.68,-10.61,-82.15,-201.47,1.996,-9.92,26.26,0.03,0.0527,0.4078,12.07,160023.69,7.67,91.62,0.909,-0,-1,119.52,121.05,118.88,24.96,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",8743
78.24,481.69,-11.43,-87.71,-202.55,1.995,-10.14,28.02,-0.04,0.0565,0.433,12.16,-99495.96,7.67,91.58,0.946,-0,-1.0001,119.63,121,118.9,24.97,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",8744
78.27,481.7,-11.65,-93.7,-204.49,1.985,-11.04,29.45,0.16,0.057,0.4582,12.17,25761.42,7.67,91.53,0.969,-0,-0.9997,119.61,120.96,118.88,24.98,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",8745
