RoadSpeed,TirePressure,InclinationAngle,NormalForce,SlipAngle,ElapsedTime,AligningTorque,LateralForce,Index
25,12,2,-53.43,0.927,549.259,10.54,-47.15,11236
25,12,2,-53.41,1.359,549.369,16.28,-62.17,11247
25,12,2,-51.56,1.647,549.439,10.02,-67.17,11254
25,12,2,-50.73,1.69,549.449,10.78,-67.98,11255
25,12,2,-50.88,2.211,549.579,15.18,-80.84,11268
25,12,2,-51.1,2.695,549.709,11.68,-91.41,11281
25,12,2,-49.94,2.969,549.779,14.51,-90.02,11288
25,12,2,-53.43,3.374,549.869,10.04,-99.41,11297
25,12,2,-52.12,3.41,549.879,8.89,-97.6,11298
25,12,2,-53.34,3.749,549.969,12.31,-105.78,11307
25,12,2,-49.92,4.104,550.059,15.18,-106.33,11316
25,12,2,-50.5,4.32,550.109,8.77,-104.74,11321
25,12,2,-47.26,4.393,550.129,9.02,-101.42,11323
25,12,2,-48.13,4.849,550.239,12.61,-104.18,11334
25,12,2,-48.14,5.28,550.349,9.65,-106.81,11345
25,12,2,-52.6,5.608,550.429,13.31,-118.04,11353
25,12,2,-47.57,6.193,550.579,10.47,-111.03,11368
25,12,2,-51.44,6.952,550.769,11.4,-122.11,11387
25,12,2,-50.32,7.52,550.909,9.8,-118.09,11401
25,12,2,-51.52,7.906,551.009,10.97,-123.97,11411
25,12,2,-45.14,8.646,551.189,10.12,-118.38,11429
25,12,2,-49.09,9.402,551.379,9.54,-120.76,11448
25,12,2,-45.53,9.475,551.398,9.18,-116.66,11450
25,12,2,-51.28,9.801,551.479,10.19,-125.86,11458
25,12,2,-48.64,10.351,551.619,9.18,-120.93,11472
25,12,2,-50.69,10.682,551.698,10.4,-128.49,11480
25,12,2,-46.18,10.875,551.749,7.9,-119.47,11485
25,12,2,-46.58,11.369,551.869,8.6,-120.82,11497
25,12,2,-48.06,11.515,551.909,10.83,-124.22,11501
25,12,2,-52.63,11.638,551.938,10.56,-126.43,11504
25,12,2,-52.73,11.865,552.068,-6.31,-127.47,11517
25,12,2,-50.11,12.136,552.148,12.78,-127.1,11524
25,12,2,-46.65,12.113,552.239,7.73,-124.86,11533
25,12,2,-49.26,11.306,552.448,15.26,-124.33,11554
25,12,2,-49.55,10.922,552.558,3.6,-123.38,11565
25,12,2,-53.02,10.58,552.638,7.71,-132.94,11573
25,12,2,-49.52,10.213,552.728,16.1,-129.93,11582
25,12,2,-51.31,9.719,552.858,7.79,-129.88,11595
25,12,2,-53.4,9.626,552.878,9.74,-129.51,11597
25,12,2,-48.34,9.414,552.928,13.16,-121.72,11602
25,12,2,-51.66,9.079,553.018,7.89,-124.89,11611
