RoadSpeed,TirePressure,InclinationAngle,NormalForce,SlipAngle,ElapsedTime,AligningTorque,LateralForce,Index
25,12,4,-104.54,1.337,785.963,32.51,-79.71,19965
25,12,4,-106.21,1.374,785.973,32.02,-83.03,19966
25,12,4,-102.88,1.609,786.033,28.25,-93.77,19972
25,12,4,-104.86,1.972,786.123,30.94,-114.48,19981
25,12,4,-102.64,2.679,786.303,30.05,-145.12,19999
25,12,4,-101.19,2.859,786.353,32.22,-147.96,20004
25,12,4,-99.32,3.349,786.463,25.77,-161.58,20015
25,12,4,-97.42,3.436,786.483,24.23,-160.62,20017
25,12,4,-95.36,3.973,786.623,32.78,-175.22,20031
25,12,4,-94.19,4.331,786.713,25.98,-178.99,20040
25,12,4,-96.17,4.994,786.873,27.71,-197.99,20056
25,12,4,-95.96,5.578,787.023,27.69,-201.87,20071
25,12,4,-93.15,6.183,787.173,25.51,-208.41,20086
25,12,4,-96.97,7.254,787.443,26.1,-229.49,20113
25,12,4,-98.6,8.174,787.673,25.07,-233.59,20136
25,12,4,-100.12,8.257,787.693,24.64,-233.32,20138
25,12,4,-98.1,8.608,787.783,24.4,-233.76,20147
25,12,4,-97.17,9.063,787.893,23.69,-232.27,20158
25,12,4,-97.38,10.369,788.223,22.63,-222.28,20191
25,12,4,-98.03,10.866,788.343,21.65,-222.08,20203
25,12,4,-99.56,11.181,788.423,20.85,-215.45,20211
25,12,4,-101.16,11.581,788.523,20.91,-218,20221
25,12,4,-101.49,11.84,788.633,11.44,-219.84,20232
25,12,4,-99.56,11.841,788.653,8.55,-215.13,20234
25,12,4,-99.08,12.183,788.773,27.37,-216.77,20245
25,12,4,-99.15,12.179,788.813,25.99,-220.16,20249
25,12,4,-100.94,11.305,789.063,28.37,-224.56,20274
25,12,4,-98.08,11.058,789.133,17.12,-219.11,20281
25,12,4,-98.71,10.178,789.353,20.71,-220.78,20303
25,12,4,-97.72,10.091,789.373,19.32,-219.75,20305
25,12,4,-98.4,7.843,789.933,22.08,-226.88,20361
25,12,4,-102.28,7.601,789.993,26.32,-231.17,20367
25,12,4,-102.63,7.522,790.013,25.14,-228.95,20369
25,12,4,-100.82,7.438,790.033,24.1,-225.96,20371
25,12,4,-98.88,7.368,790.053,23.68,-224.2,20373
25,12,4,-98.64,7.326,790.063,23.51,-224.21,20374
25,12,4,-102.97,7.064,790.133,20.98,-225.53,20381
25,12,4,-104.29,6.609,790.243,25.15,-222.32,20392
25,12,4,-99.87,6.431,790.293,24.91,-215.59,20397
25,12,4,-100.8,4.968,790.653,26,-198.63,20433
25,12,4,-103.86,4.773,790.703,26.66,-196.72,20438
25,12,4,-103.14,4.47,790.783,28.61,-191.33,20446
25,12,4,-103.41,4.305,790.823,24.44,-187.43,20450
25,12,4,-102.62,3.815,790.943,27.17,-173.99,20462
25,12,4,-104.69,3.495,791.023,29.25,-168.08,20470
25,12,4,-102.8,3.371,791.053,27.19,-161.35,20473
25,12,4,-100.98,2.721,791.223,27.53,-137.39,20490
25,12,4,-102.01,2.668,791.233,27.56,-136.71,20491
25,12,4,-103.19,2.156,791.353,30.3,-115.66,20503
25,12,4,-104.57,2.054,791.383,29.56,-111.22,20506
25,12,4,-99.52,1.481,791.533,24.38,-79.66,20521
25,12,4,-98.4,0.853,791.683,25.69,-45.9,20536
25,12,4,-93.79,0.508,791.773,22.64,-22.84,20545
25,12,4,-95.61,0.417,791.793,23.68,-17.77,20547
25,12,4,-99.35,-1.284,792.213,11.57,108.66,20589
25,12,4,-105.26,-1.568,792.283,19,127.63,20596
25,12,4,-101.14,-1.816,792.353,13.1,139.97,20603
25,12,4,-102.62,-1.851,792.363,11.17,141.64,20604
25,12,4,-103.2,-2.074,792.423,5.33,152.4,20610
25,12,4,-104.17,-3.471,792.763,11.88,200.8,20644
25,12,4,-105.7,-4.293,792.973,9.35,220.75,20665
25,12,4,-101.15,-4.424,793.003,11.57,219.38,20668
25,12,4,-106.42,-4.686,793.073,11.84,227.65,20675
25,12,4,-105.84,-4.724,793.083,11.51,228.05,20676
25,12,4,-102.09,-4.839,793.113,9.3,224.59,20679
25,12,4,-101.18,-4.883,793.122,8.43,224.38,20680
25,12,4,-103.88,-5.076,793.173,9.7,230.27,20685
25,12,4,-104.03,-5.214,793.203,9.19,231.23,20688
25,12,4,-104.05,-6.009,793.403,11.38,238.83,20708
25,12,4,-103.64,-6.5,793.523,14.83,242.53,20720
25,12,4,-99.25,-7.137,793.682,14.01,238.07,20736
25,12,4,-103.09,-7.449,793.763,15.29,245.15,20744
25,12,4,-101.95,-7.973,793.893,15.29,241.66,20757
25,12,4,-102.05,-8.861,794.112,15.83,244.13,20779
25,12,4,-98.89,-9.452,794.263,15.63,241,20794
25,12,4,-98.72,-9.488,794.273,16.08,241.92,20795
25,12,4,-99.49,-9.938,794.383,16.24,242.44,20806
25,12,4,-99.41,-10.022,794.402,17.22,245.53,20808
25,12,4,-102.57,-10.138,794.432,17.06,251,20811
25,12,4,-99.38,-10.454,794.513,17.65,245.37,20819
25,12,4,-100.11,-11.328,794.732,17.28,243.25,20841
25,12,4,-101.79,-11.713,794.842,27.68,241.33,20852
25,12,4,-102.16,-11.767,794.883,30.82,247.52,20856
25,12,4,-105.84,-12.06,795.022,7.44,250.3,20869
25,12,4,-101.78,-12.065,795.072,14.17,241.8,20874
25,12,4,-104.63,-11.849,795.162,44.49,243.49,20883
25,12,4,-103.26,-11.794,795.172,38.88,242.02,20884
25,12,4,-103.85,-11.045,795.352,15.35,247.98,20902
25,12,4,-101.35,-9.855,795.652,19.04,242.23,20932
25,12,4,-103.21,-9.704,795.692,24.56,247.78,20936
25,12,4,-105.25,-8.64,795.962,20.84,245.1,20963
25,12,4,-103.93,-8.584,795.972,20.02,242.85,20964
25,12,4,-106.09,-8.136,796.072,10.87,245.65,20974
25,12,4,-102.71,-7.582,796.222,19.66,238.13,20989
25,12,4,-103.8,-7.168,796.322,10.34,236.5,20999
25,12,4,-102.94,-7.019,796.362,12.75,237.52,21003
25,12,4,-104.37,-5.833,796.662,13.99,225.82,21033
25,12,4,-106.81,-5.541,796.732,13.66,227.03,21040
25,12,4,-103.59,-3.582,797.222,10.84,188.62,21089
25,12,4,-104.92,-3.216,797.312,11.45,180,21098
25,12,4,-104.64,-3.192,797.322,11.32,178.9,21099
25,12,4,-100.16,-2.593,797.472,12.13,155.62,21114
25,12,4,-99.65,-2.544,797.482,12.65,153.88,21115
