AmbientRoomTemperature,ElapsedTime,LongitudinalForce,LateralForce,NormalForce,InclinationAngle,OverturningMoment,AligningTorque,WheelRotationalSpeed,NormalizedLongitudinalForce(FX/FZ),NormalizedLateralForce(FY/FZ),TirePressure,EffectiveRadius,LoadedRadius,RoadSurfaceTemperature,SlipAngle,SlipRatioTextbook,SlipRatioBasedOnRL,TireSurfaceTemperature-Center,TireSurfaceTemperature-Inboard,TireSurfaceTemperature-Outboard,RoadSpeed,testid,tireid,Index
78.31,582.988,-12.17,-27.97,-253.51,1.996,-12.52,24.94,0.16,0.048,0.1103,12.12,25788.69,7.58,91.93,0.531,-0,-0.9997,116.88,117.31,118.47,25.01,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",12470
78.32,582.998,-13.23,-34.33,-254.03,1.998,-12.57,26.27,0.16,0.0521,0.1351,12.12,25788.48,7.58,91.94,0.563,-0,-0.9997,116.93,117.31,118.49,25.01,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",12471
78.29,583.008,-14.08,-41.58,-255.86,1.999,-13.11,27.34,0.09,0.055,0.1625,12.08,44378.73,7.58,91.92,0.61,-0,-0.9998,116.95,117.28,118.49,24.98,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",12472
78.29,583.018,-14.15,-48.65,-258.53,1.999,-12.88,28.45,0.03,0.0547,0.1882,11.99,160109.86,7.58,91.91,0.663,-0,-1,116.84,117.24,118.51,24.97,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",12473
78.32,583.028,-13.77,-55.87,-261.14,1.998,-13.27,29.15,0.03,0.0527,0.2139,11.92,160145.84,7.58,91.87,0.689,-0,-1,116.86,117.26,118.49,24.98,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",12474
78.3,583.038,-13.09,-62.32,-262.9,1.98,-12.65,29.23,0.09,0.0498,0.237,11.89,44356.59,7.58,91.85,0.733,-0,-0.9998,116.86,117.17,118.47,24.97,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",12475
78.29,583.048,-12.02,-68.71,-262.47,2.004,-13.36,28.92,-0.04,0.0458,0.2618,11.96,-99501.51,7.58,91.83,0.769,-0,-1.0001,116.88,117.17,118.45,24.97,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",12476
78.31,583.058,-10.65,-73.57,-260.39,2.001,-12.39,28.79,0.16,0.0409,0.2825,12.03,25732.86,7.58,91.79,0.809,-0,-0.9997,116.88,117.17,118.43,24.96,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",12477
78.32,583.068,-9.54,-78.16,-256.77,1.992,-12.16,29.1,0.03,0.0371,0.3044,12.08,159989.38,7.58,91.8,0.845,-0,-1,116.86,117.11,118.41,24.96,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",12478
78.29,583.078,-9.87,-82.26,-253.82,1.986,-11.16,28.89,0.09,0.0389,0.3241,12.09,44323.34,7.58,91.78,0.895,-0,-0.9998,116.82,117.13,118.35,24.95,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",12479
