AmbientRoomTemperature,ElapsedTime,LongitudinalForce,LateralForce,NormalForce,InclinationAngle,OverturningMoment,AligningTorque,WheelRotationalSpeed,NormalizedLongitudinalForce(FX/FZ),NormalizedLateralForce(FY/FZ),TirePressure,EffectiveRadius,LoadedRadius,RoadSurfaceTemperature,SlipAngle,SlipRatioTextbook,SlipRatioBasedOnRL,TireSurfaceTemperature-Center,TireSurfaceTemperature-Inboard,TireSurfaceTemperature-Outboard,RoadSpeed,testid,tireid,Index
78.4,751.974,-13.26,17.02,-263.28,3.988,-26.57,42.33,0.09,0.0504,-0.0646,11.95,44410.96,7.58,91.61,0.469,-0,-0.9998,116.54,115.06,120.27,25,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",18696
78.42,751.984,-12.4,10.85,-264.1,3.996,-25.82,42.57,-0.04,0.0469,-0.0411,12.03,-99600.68,7.58,91.63,0.504,-0,-1.0001,116.52,115.06,120.27,24.99,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",18697
78.4,751.994,-10.93,4.84,-262.35,3.993,-26.25,42.81,-0.04,0.0416,-0.0184,12.14,-99576.39,7.59,91.66,0.552,-0,-1.0001,116.56,115.13,120.27,24.98,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",18698
78.39,752.004,-10.23,-0.69,-260.62,3.985,-24.87,42.62,0.09,0.0393,0.0027,12.17,44399.31,7.59,91.68,0.592,-0,-0.9998,116.52,115.19,120.23,24.99,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",18699
78.41,752.014,-10.61,-6.2,-257.23,3.991,-25.48,42.07,0.03,0.0413,0.0241,12.15,160333.02,7.59,91.68,0.64,-0,-1,116.54,115.22,120.15,25.01,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",18700
78.41,752.024,-11.58,-11.16,-255.04,3.994,-25.24,41.95,0.03,0.0454,0.0437,12.06,160330.97,7.59,91.69,0.684,-0,-1,116.54,115.17,120.09,25.01,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",18701
78.38,752.034,-13.05,-16.28,-254.86,3.985,-23.76,42.09,0.09,0.0512,0.0639,11.97,44397.81,7.59,91.69,0.711,-0,-0.9998,116.54,115.3,120.09,24.99,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",18702
78.4,752.044,-14.2,-21.59,-254.64,4.003,-23.23,43.12,0.03,0.0558,0.0848,11.92,160104.81,7.59,91.66,0.75,-0,-1,116.56,115.37,120.13,24.97,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",18703
78.43,752.054,-14.94,-27.6,-255.39,3.993,-23.02,44.34,0.03,0.0585,0.1081,11.92,159991.27,7.59,91.68,0.79,-0,-1,116.63,115.35,120.17,24.96,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",18704
78.4,752.064,-15.06,-33.85,-257.54,4.003,-22.46,45.88,0.09,0.0585,0.1314,11.97,44303.37,7.59,91.65,0.836,-0,-0.9998,116.6,115.35,120.17,24.94,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",18705
