RoadSpeed,TirePressure,InclinationAngle,NormalForce,SlipAngle,ElapsedTime,AligningTorque,LateralForce,Index
25,12,4,-52.86,0.39,718.124,24.03,-16.55,17450
25,12,4,-54.59,1.366,718.364,24.04,-53.41,17474
25,12,4,-55.11,1.683,718.444,21.75,-64.45,17482
25,12,4,-52.55,2.041,718.534,23.32,-71.25,17491
25,12,4,-50.59,2.863,718.744,24.43,-84.26,17512
25,12,4,-50.49,3.302,718.844,19.83,-87.84,17522
25,12,4,-52.71,3.498,718.894,19.06,-95.01,17527
25,12,4,-52.4,3.607,718.924,18.46,-93.94,17530
25,12,4,-48.57,4.647,719.184,21.86,-99.6,17556
25,12,4,-49.2,5.103,719.294,19.13,-102.04,17567
25,12,4,-49.74,5.493,719.394,21.37,-104.51,17577
25,12,4,-49.14,5.527,719.404,21.63,-104.4,17578
25,12,4,-50.51,6.296,719.594,21.66,-111.78,17597
25,12,4,-49.68,6.822,719.724,19.91,-111.2,17610
25,12,4,-46.04,7.44,719.884,20.25,-112.03,17626
25,12,4,-46.93,7.887,719.994,20.01,-113.39,17637
25,12,4,-48.81,8.684,720.194,19.05,-114.21,17657
25,12,4,-46.37,8.921,720.254,21,-117.62,17663
25,12,4,-49.23,9.044,720.284,20.13,-118.59,17666
25,12,4,-48.9,11.097,720.794,18.24,-117.91,17717
25,12,4,-47.99,11.694,720.944,19.39,-119.38,17732
25,12,4,-50.06,11.769,720.964,18.16,-120.18,17734
25,12,4,-52.19,11.845,721.004,6.53,-117.55,17738
25,12,4,-48.69,12.128,721.174,26,-120.63,17754
25,12,4,-51.15,11.632,721.364,16.84,-118.25,17773
25,12,4,-50.18,9.755,721.844,15,-120.63,17821
25,12,4,-50.43,9.535,721.894,21.83,-122.03,17826
25,12,4,-49.2,9.172,721.994,19.19,-119.92,17836
25,12,4,-52.47,8.959,722.044,15.13,-121.61,17841
25,12,4,-50.34,8.623,722.124,21.66,-122.06,17849
25,12,4,-52.74,7.514,722.404,21.88,-116.44,17877
25,12,4,-53.3,6.635,722.624,21.06,-115.65,17899
25,12,4,-50.83,6.36,722.694,21.67,-113.48,17906
25,12,4,-52.68,6.276,722.714,21.41,-115.69,17908
25,12,4,-51.61,5.882,722.814,20.56,-112.49,17918
25,12,4,-51.14,4.964,723.044,19.81,-105.82,17941
25,12,4,-49.75,4.596,723.134,23.48,-101.57,17950
25,12,4,-52.37,4.329,723.204,20.36,-100.48,17957
25,12,4,-51.93,4.009,723.284,20.62,-98.66,17965
25,12,4,-52.85,3.925,723.304,21.39,-97.5,17967
25,12,4,-49.18,3.714,723.354,22.37,-91.8,17972
25,12,4,-49.44,3.283,723.464,19.68,-86.21,17983
25,12,4,-50.28,1.535,723.904,16.57,-52.88,18027
25,12,4,-49.68,1.495,723.914,16.56,-50.93,18028
25,12,4,-48.75,1.449,723.924,17.55,-49.72,18029
25,12,4,-46.38,0.106,724.264,19.07,-3.72,18063
25,12,4,-49.47,-0.149,724.324,16.14,8.12,18069
25,12,4,-57.42,-3.428,725.144,13.32,113.16,18151
25,12,4,-54.71,-3.983,725.284,10.18,116.92,18165
25,12,4,-55.23,-4.671,725.454,15.8,122.99,18182
25,12,4,-51.56,-6.267,725.854,14.15,122.62,18222
25,12,4,-53.61,-6.629,725.944,13.35,126.47,18231
25,12,4,-53.96,-7.517,726.164,14.35,129.28,18253
25,12,4,-49.69,-8.222,726.344,15.24,126.19,18271
25,12,4,-52.94,-8.476,726.404,14.09,127.98,18277
25,12,4,-53.29,-8.839,726.494,15.12,131.1,18286
25,12,4,-51,-9.184,726.584,15.79,127.86,18295
25,12,4,-52.62,-9.751,726.724,15.77,131.07,18309
25,12,4,-53.24,-9.83,726.744,14.96,129.09,18311
25,12,4,-51.76,-9.872,726.754,14.71,126.97,18312
25,12,4,-50.93,-10.15,726.824,16,129.56,18319
25,12,4,-51.31,-10.193,726.834,15.81,130.02,18320
25,12,4,-49.7,-11.344,727.124,14.94,124.52,18349
25,12,4,-52.42,-11.707,727.214,16.85,126.65,18358
25,12,4,-51.29,-11.728,727.224,19.11,124.78,18359
25,12,4,-50.03,-11.768,727.244,26,123.44,18361
25,12,4,-50.81,-11.82,727.284,30.16,128.3,18365
25,12,4,-51.83,-11.828,727.294,31.76,129.89,18366
25,12,4,-53.05,-12.107,727.314,32.75,130.11,18367
25,12,4,-52.75,-12.107,727.334,26.3,126.73,18369
25,12,4,-50.35,-12.075,727.364,17.54,124.41,18372
25,12,4,-49.85,-12.055,727.484,16.29,125.61,18384
25,12,4,-53.22,-11.949,727.534,41.75,129.65,18389
25,12,4,-53.42,-11.873,727.554,45.16,128.11,18391
25,12,4,-51.24,-11.226,727.694,6.97,125.39,18405
25,12,4,-51.27,-10.599,727.864,21.16,128.96,18422
25,12,4,-51.1,-9.854,728.054,16.6,126.03,18441
25,12,4,-51.54,-9.681,728.094,23.11,129.75,18445
25,12,4,-54.48,-9.519,728.134,18.39,130.71,18449
25,12,4,-52.46,-9.432,728.154,15.25,127.66,18451
25,12,4,-50.99,-9.246,728.194,11.83,127.86,18455
25,12,4,-53.99,-7.298,728.684,14.12,126.95,18504
25,12,4,-53.85,-6.273,728.944,11.96,122.92,18530
25,12,4,-53.32,-6.236,728.954,11.13,120.57,18531
25,12,4,-53.86,-5.802,729.064,14.86,119.04,18542
25,12,4,-50.43,-4.687,729.344,16.02,110.42,18570
25,12,4,-53.71,-4.513,729.384,12.55,112.48,18574
25,12,4,-52.9,-4.438,729.404,11.94,110.44,18576
25,12,4,-50.98,-4.352,729.424,11.93,107.17,18578
25,12,4,-51.77,-3.955,729.524,12.75,103.99,18588
