AmbientRoomTemperature,ElapsedTime,LongitudinalForce,LateralForce,NormalForce,InclinationAngle,OverturningMoment,AligningTorque,WheelRotationalSpeed,NormalizedLongitudinalForce(FX/FZ),NormalizedLateralForce(FY/FZ),TirePressure,EffectiveRadius,LoadedRadius,RoadSurfaceTemperature,SlipAngle,SlipRatioTextbook,SlipRatioBasedOnRL,TireSurfaceTemperature-Center,TireSurfaceTemperature-Inboard,TireSurfaceTemperature-Outboard,RoadSpeed,testid,tireid,Index
78.19,515.349,-7.39,-23.75,-149.05,2.009,-11.54,20,0.09,0.0496,0.1593,12.13,44360.7,7.76,91.35,0.391,-0,-0.9998,122.48,122.99,122.19,24.97,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",9977
78.23,515.359,-9.03,-28.97,-150.21,1.999,-12.52,19.68,0.03,0.0601,0.1929,12.03,160157.06,7.76,91.37,0.44,-0,-1,122.46,122.94,122.23,24.98,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",9978
78.21,515.369,-9.91,-34.31,-152.74,1.989,-12.85,19.19,0.09,0.0649,0.2246,11.95,44401.11,7.76,91.37,0.478,-0,-0.9998,122.44,122.9,122.23,24.99,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",9979
78.18,515.379,-9.59,-39.57,-155.04,2.008,-12.86,18.88,0.03,0.0618,0.2552,11.93,160377.17,7.76,91.36,0.523,-0,-1,122.46,122.92,122.25,25.01,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",9980
78.2,515.389,-8.63,-44.83,-155.77,2.011,-13.55,18.43,0.09,0.0554,0.2878,11.97,44451.72,7.76,91.35,0.566,-0,-0.9998,122.42,122.88,122.25,25.02,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",9981
78.23,515.399,-7.85,-49.27,-156,1.996,-12.21,17.28,-0.04,0.0503,0.3158,12.06,-99622.77,7.76,91.34,0.6,-0,-1.0001,122.31,122.88,122.17,25,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",9982
78.2,515.409,-6.63,-53.52,-154.04,2.001,-12.19,16.69,0.03,0.0431,0.3475,12.14,160185.83,7.76,91.37,0.661,-0,-1,122.29,122.83,122.15,24.98,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",9983
78.2,515.419,-6.42,-57.3,-151.95,2.004,-11.24,15.79,0.09,0.0423,0.3771,12.16,44367.83,7.76,91.37,0.696,-0,-0.9998,122.14,122.88,122.07,24.97,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",9984
78.22,515.429,-6.55,-60.79,-149.67,2.006,-11.01,15.84,-0.04,0.0438,0.4061,12.11,-99457.26,7.76,91.37,0.74,-0,-1.0001,122.05,122.81,121.99,24.96,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",9985
78.21,515.439,-7.24,-64.97,-148.82,1.996,-10.94,16.55,0.09,0.0486,0.4366,12.01,44346.17,7.76,91.35,0.777,-0,-0.9998,121.99,122.81,122.01,24.96,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",9986
78.19,515.449,-8.32,-68.85,-149.15,2.001,-9.91,17.86,0.03,0.0558,0.4616,11.94,159955.73,7.76,91.29,0.813,-0,-1,121.99,122.81,122.05,24.95,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",9987
78.2,515.459,-9.46,-73.47,-150.01,1.993,-10.13,19.3,0.03,0.0631,0.4898,11.92,159916.66,7.77,91.28,0.85,-0,-1,121.99,122.9,122.05,24.94,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",9988
78.22,515.469,-9.73,-78.59,-151.73,2.005,-11.03,21.22,0.03,0.0641,0.5179,11.98,159914.83,7.76,91.3,0.885,-0,-1,122.08,122.92,122.09,24.94,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",9989
78.2,515.479,-9.61,-83.64,-154.11,2.001,-11.38,22.53,0.09,0.0623,0.5427,12.05,44313.09,7.76,91.3,0.928,-0,-0.9998,122.08,122.83,122.15,24.94,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",9990
78.19,515.489,-8.85,-88.23,-156.31,2.002,-11.31,23.49,0.09,0.0566,0.5645,12.15,44312.46,7.76,91.32,0.968,-0,-0.9998,122.05,122.83,122.13,24.94,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",9991
78.21,515.499,-7.11,-92.38,-157.4,1.998,-11.83,24.21,0.09,0.0452,0.5869,12.17,44332.7,7.76,91.35,0.989,-0,-0.9998,122.12,122.85,122.13,24.96,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",9992
78.22,515.509,-4.93,-95.79,-157.72,2.004,-10.89,24.87,-0.04,0.0312,0.6074,12.12,-99493.95,7.76,91.35,1.024,-0,-1.0001,122.1,122.85,122.09,24.97,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",9993
78.19,515.519,-2.24,-98.81,-155.62,2.006,-10.86,25.83,-0.04,0.0144,0.6349,12.03,-99561.13,7.76,91.38,1.078,-0,-1.0001,122.05,122.83,122.05,24.98,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",9994
78.19,515.529,-0.53,-101.76,-153.55,1.99,-10.27,26.31,0.16,0.0034,0.6627,11.95,25766.24,7.77,91.43,1.108,-0,-0.9997,121.99,122.79,122.07,24.99,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",9995
78.22,515.539,0.05,-104.17,-151.13,1.998,-10.11,26.62,0.03,-0.0003,0.6893,11.92,160159.45,7.77,91.48,1.141,-0,-1,121.93,122.77,121.97,24.98,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",9996
78.2,515.549,-0.42,-107.18,-149.7,2.004,-9.82,27.01,0.03,0.0028,0.7159,11.98,160119.2,7.76,91.52,1.187,-0,-1,121.88,122.7,121.99,24.98,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",9997
