AmbientRoomTemperature,ElapsedTime,LongitudinalForce,LateralForce,NormalForce,InclinationAngle,OverturningMoment,AligningTorque,WheelRotationalSpeed,NormalizedLongitudinalForce(FX/FZ),NormalizedLateralForce(FY/FZ),TirePressure,EffectiveRadius,LoadedRadius,RoadSurfaceTemperature,SlipAngle,SlipRatioTextbook,SlipRatioBasedOnRL,TireSurfaceTemperature-Center,TireSurfaceTemperature-Inboard,TireSurfaceTemperature-Outboard,RoadSpeed,testid,tireid,Index
78.42,684.355,-7.06,-8.97,-154.71,3.988,-20.25,28.8,0.03,0.0456,0.058,11.98,160269,7.78,91.58,0.434,-0,-1,122.68,122.35,122.86,25,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",16205
78.39,684.365,-6.06,-13.07,-153.86,3.996,-19.24,28,-0.04,0.0394,0.0849,12.03,-99625.41,7.78,91.59,0.495,-0,-1.0001,122.63,122.3,122.82,25,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",16206
78.4,684.375,-5.73,-17.36,-151.69,3.982,-19.29,27.29,-0.04,0.0378,0.1145,12.11,-99555.31,7.78,91.56,0.531,-0,-1.0001,122.5,122.35,122.78,24.98,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",16207
78.42,684.385,-6.25,-21.67,-150.02,3.987,-19.18,26.74,0.09,0.0417,0.1445,12.19,44369.41,7.78,91.55,0.567,-0,-0.9998,122.44,122.33,122.76,24.97,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",16208
78.4,684.395,-7.92,-25.76,-149.15,3.985,-18.3,26.21,0.09,0.0531,0.1727,12.21,44409.99,7.78,91.56,0.623,-0,-0.9998,122.44,122.37,122.74,25,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",16209
78.38,684.405,-9.63,-30.34,-148.35,3.991,-18.91,26.42,0.09,0.0649,0.2045,12.17,44419.84,7.78,91.55,0.661,-0,-0.9998,122.44,122.37,122.78,25,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",16210
78.41,684.415,-11.04,-34.65,-149.22,3.996,-18.29,27.22,0.03,0.074,0.2322,12.09,160369.98,7.78,91.55,0.707,-0,-1,122.46,122.44,122.84,25.01,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",16211
78.42,684.425,-12.36,-39.11,-150.45,4.003,-18.41,27.73,0.09,0.0822,0.2599,12.03,44449.81,7.78,91.57,0.736,-0,-0.9998,122.46,122.44,122.9,25.02,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",16212
78.39,684.435,-12.23,-43.66,-151.74,3.988,-19.61,28.68,0.09,0.0806,0.2877,11.97,44480.21,7.79,91.58,0.773,-0,-0.9998,122.44,122.44,122.88,25.04,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",16213
78.4,684.445,-11.33,-47.54,-154.29,3.988,-19.13,29.77,0.23,0.0734,0.3081,12,18186.27,7.78,91.56,0.812,-0,-0.9996,122.35,122.3,122.94,25.04,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",16214
78.42,684.455,-9.53,-51.22,-154.95,3.988,-19.42,30.64,0.09,0.0615,0.3306,12.06,44489.49,7.78,91.56,0.846,-0,-0.9998,122.35,122.35,122.92,25.04,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",16215
78.41,684.465,-7.54,-54.68,-155.16,4.007,-19.21,31.33,-0.11,0.0486,0.3524,12.14,-38067.73,7.78,91.57,0.893,-0,-1.0002,122.33,122.33,122.9,25.04,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",16216
78.38,684.475,-6,-58.32,-153.77,4,-19.67,31.19,0.09,0.039,0.3793,12.19,44467.59,7.78,91.58,0.934,-0,-0.9998,122.31,122.37,122.9,25.03,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",16217
78.4,684.485,-4.54,-61.05,-152.54,4.006,-18.67,31.61,0.09,0.0297,0.4002,12.14,44456.7,7.78,91.59,0.971,-0,-0.9998,122.27,122.39,122.86,25.03,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",16218
78.42,684.495,-3.44,-63.72,-150.93,3.984,-17.7,32.68,-0.04,0.0228,0.4222,12.06,-99656.86,7.79,91.59,0.999,-0,-1.0001,122.14,122.44,122.8,25.01,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",16219
78.39,684.505,-3.39,-66.69,-149.59,4.015,-18.16,33.96,0.16,0.0227,0.4458,11.96,25767.02,7.78,91.63,1.039,-0,-0.9997,122.08,122.41,122.82,24.99,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",16220
78.39,684.515,-3.64,-69.61,-149,3.987,-17.74,35.6,0.09,0.0244,0.4672,11.89,44383.05,7.78,91.65,1.065,-0,-0.9998,122.08,122.46,122.86,24.98,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",16221
78.42,684.525,-4.57,-73.51,-149.34,3.997,-17.87,37.01,0.03,0.0306,0.4922,11.91,160161.44,7.78,91.67,1.12,-0,-1,122.08,122.55,122.88,24.98,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",16222
78.41,684.535,-5.8,-77.35,-150.11,3.997,-18.1,37.81,-0.04,0.0386,0.5153,11.95,-99512.27,7.78,91.65,1.153,-0,-1.0001,122.05,122.59,122.9,24.97,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",16223
78.38,684.545,-6.71,-81.31,-151.33,3.994,-18.67,37.94,0.16,0.0443,0.5373,12.02,25735.38,7.78,91.64,1.207,-0,-0.9997,122.03,122.61,122.96,24.96,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",16224
78.4,684.555,-6.6,-85.4,-153.1,3.996,-19.06,38.12,0.03,0.0431,0.5578,12.06,159931.12,7.78,91.6,1.228,-0,-1,121.97,122.7,122.9,24.95,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",16225
78.42,684.565,-6.17,-88.84,-154.68,3.985,-18.17,37.63,0.09,0.0399,0.5744,12.03,44307.29,7.79,91.59,1.263,-0,-0.9998,121.97,122.61,122.9,24.94,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",16226
78.39,684.575,-5.18,-92.39,-155.07,3.987,-17.97,36.79,-0.04,0.0334,0.5958,11.98,-99389.55,7.79,91.58,1.317,-0,-1.0001,121.99,122.7,122.86,24.94,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",16227
78.38,684.585,-4.72,-95.56,-154.06,3.99,-18.11,35.09,0.03,0.0306,0.6203,11.91,159958.8,7.79,91.59,1.357,-0,-1,121.97,122.72,122.82,24.96,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",16228
78.4,684.595,-4.05,-98.45,-152.98,3.998,-17.74,33.99,0.09,0.0265,0.6435,11.86,44386.87,7.78,91.57,1.396,-0,-0.9998,121.99,122.74,122.78,24.99,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",16229
78.41,684.605,-4.01,-100.69,-151.33,3.987,-17.08,32.88,0.09,0.0265,0.6653,11.9,44396.34,7.79,91.54,1.433,-0,-0.9998,121.95,122.79,122.74,25,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",16230
78.38,684.615,-4.35,-103.2,-150.38,3.977,-16.44,32.82,0.09,0.0289,0.6862,11.97,44395.14,7.79,91.51,1.486,-0,-0.9998,121.86,122.74,122.74,25,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",16231
78.4,684.625,-5.21,-106.28,-149.58,4.003,-16.71,33.48,0.03,0.0348,0.7105,12.08,160056.72,7.78,91.5,1.525,-0,-1,121.9,122.77,122.76,24.97,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",16232
78.42,684.635,-6.44,-109.57,-149.34,4.006,-16.37,34.29,0.03,0.0431,0.7337,12.13,159979.72,7.78,91.48,1.556,-0,-1,121.95,122.77,122.78,24.96,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",16233
78.4,684.645,-7.87,-113.43,-149.73,4.004,-16.66,35.05,-0.04,0.0525,0.7576,12.14,-99421.35,7.78,91.5,1.601,-0,-1.0001,121.95,122.77,122.76,24.96,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",16234
78.38,684.655,-8.93,-117.65,-151.04,3.985,-17.09,35.3,0.03,0.0591,0.779,12.08,159972.89,7.79,91.52,1.634,-0,-1,121.95,122.72,122.8,24.96,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",16235
78.41,684.665,-8.67,-121.75,-152.97,3.993,-17.37,35.95,0.03,0.0567,0.7959,11.99,160116.64,7.79,91.52,1.687,-0,-1,121.95,122.72,122.82,24.98,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",16236
78.41,684.675,-8.09,-125.7,-154.91,4.001,-17.48,35.95,0.09,0.0522,0.8114,11.95,44410.4,7.78,91.54,1.704,-0,-0.9998,122.05,122.72,122.78,25.01,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",16237
78.39,684.685,-6.99,-129.33,-155.85,3.988,-17.31,35.61,0.03,0.0449,0.8298,11.96,160260.08,7.79,91.53,1.741,-0,-1,122.01,122.74,122.82,25.01,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",16238
78.39,684.695,-5.2,-132.35,-155.37,4.003,-17.89,35.39,0.03,0.0335,0.8518,12.02,160181.36,7.78,91.55,1.787,-0,-1,122.08,122.74,122.82,25,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",16239
78.41,684.705,-3.74,-134.59,-154.03,3.996,-17.71,35.13,0.09,0.0243,0.8737,12.12,44365.65,7.79,91.56,1.837,-0,-0.9998,122.08,122.72,122.78,24.98,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",16240
78.4,684.715,-2.45,-136.25,-152.31,3.997,-17.15,35.35,0.03,0.0161,0.8945,12.19,159950.23,7.79,91.56,1.87,-0,-1,121.95,122.61,122.8,24.96,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",16241
78.38,684.725,-1.93,-137.89,-150.61,3.994,-16.82,36.01,0.09,0.0128,0.9155,12.22,44302.04,7.79,91.56,1.903,-0,-0.9998,121.95,122.61,122.78,24.95,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",16242
78.41,684.735,-2.29,-139.7,-149.43,4.001,-16.27,36.92,0.03,0.0153,0.9349,12.17,159792.91,7.79,91.57,1.954,-0,-1,121.95,122.61,122.82,24.94,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",16243
78.42,684.745,-3.29,-142.28,-149.66,3.987,-15.18,38.12,0.23,0.022,0.9507,12.08,18091.56,7.79,91.56,1.99,-0,-0.9996,121.95,122.68,122.84,24.92,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",16244
