AmbientRoomTemperature,ElapsedTime,LongitudinalForce,LateralForce,NormalForce,InclinationAngle,OverturningMoment,AligningTorque,WheelRotationalSpeed,NormalizedLongitudinalForce(FX/FZ),NormalizedLateralForce(FY/FZ),TirePressure,EffectiveRadius,LoadedRadius,RoadSurfaceTemperature,SlipAngle,SlipRatioTextbook,SlipRatioBasedOnRL,TireSurfaceTemperature-Center,TireSurfaceTemperature-Inboard,TireSurfaceTemperature-Outboard,RoadSpeed,testid,tireid,Index
78.39,718.124,-0.13,-16.55,-52.86,4.003,-10.44,24.03,0.09,0.0024,0.313,12.09,44485.03,8.02,91.35,0.39,-0,-0.9998,126.86,119.99,126.11,25.04,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",17450
78.38,718.134,0.37,-18.1,-52.36,3.997,-10.04,22.72,-0.04,-0.007,0.3456,11.99,-99766.68,8.02,91.38,0.448,-0,-1.0001,126.82,120.01,126.09,25.03,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",17451
78.42,718.144,-0.08,-19.82,-51.65,3.991,-9.71,21.17,0.03,0.0015,0.3837,11.93,160344.86,8.02,91.41,0.473,-0,-0.9999,126.8,120.08,126.07,25.01,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",17452
78.42,718.154,-1.03,-21.72,-50.77,3.987,-9.72,19.97,0.03,0.0204,0.4277,11.96,160157.7,8.02,91.41,0.517,-0,-0.9999,126.69,120.3,126.05,24.98,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",17453
78.38,718.164,-1.7,-23.12,-50.5,3.985,-8.74,19.92,0.03,0.0337,0.4578,12.01,160156.02,8.02,91.42,0.569,-0,-0.9999,126.6,120.41,126.07,24.98,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",17454
78.4,718.174,-2.79,-25.39,-49.74,3.994,-9.64,20.27,0.09,0.0561,0.5105,12.08,44400.71,8.02,91.44,0.616,-0,-0.9998,126.6,120.52,126.09,24.99,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",17455
78.42,718.184,-4.59,-27.33,-50.79,3.991,-9,19.97,0.09,0.0904,0.5382,12.14,44369.26,8.02,91.47,0.67,-0,-0.9998,126.67,120.63,126.17,24.97,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",17456
78.4,718.194,-6.17,-29.51,-51.03,3.994,-9.99,19.65,0.09,0.1209,0.5784,12.11,44358.5,8.02,91.49,0.712,-0,-0.9998,126.71,120.63,126.17,24.97,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",17457
78.38,718.204,-7.61,-31.55,-52.32,3.981,-10.36,18.55,0.03,0.1455,0.6031,12.08,160111.81,8.02,91.51,0.752,-0,-0.9999,126.71,120.52,126.15,24.97,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",17458
78.41,718.214,-7.61,-33.54,-53.44,3.988,-10.71,18.09,0.09,0.1424,0.6276,11.98,44357.53,8.02,91.49,0.794,-0,-0.9998,126.77,120.45,126.15,24.97,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",17459
78.41,718.224,-6.29,-35.48,-54.5,3.985,-10.75,18.2,0.03,0.1155,0.6509,11.95,160070.84,8.02,91.49,0.836,-0,-0.9999,126.8,120.37,126.11,24.97,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",17460
78.38,718.234,-5.1,-36.88,-54.48,3.988,-10.68,17.79,0.09,0.0935,0.677,11.95,44346.27,8.02,91.45,0.868,-0,-0.9998,126.77,120.41,126.13,24.96,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",17461
