AmbientRoomTemperature,ElapsedTime,LongitudinalForce,LateralForce,NormalForce,InclinationAngle,OverturningMoment,AligningTorque,WheelRotationalSpeed,NormalizedLongitudinalForce(FX/FZ),NormalizedLateralForce(FY/FZ),TirePressure,EffectiveRadius,LoadedRadius,RoadSurfaceTemperature,SlipAngle,SlipRatioTextbook,SlipRatioBasedOnRL,TireSurfaceTemperature-Center,TireSurfaceTemperature-Inboard,TireSurfaceTemperature-Outboard,RoadSpeed,testid,tireid,Index
79.48,890.38,-4.44,-92.83,-104.47,-0.007,-1.43,9.37,-0.03,0.0425,0.8886,12.39,-167489.06,7.84,95.33,1.026,-0,-1,124.16,124.66,128.78,24.99,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",26192
79.48,890.39,-4.32,-95.99,-104.91,0.004,-2.35,11.28,0.04,0.0412,0.915,12.38,96853.46,7.84,95.33,1.066,-0,-0.9999,124.22,124.7,128.9,24.96,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",26193
79.5,890.4,-4.3,-99.25,-106.61,0.003,-2.06,12.26,0.25,0.0404,0.931,12.32,16878.46,7.84,95.35,1.117,-0,-0.9995,124.16,124.75,128.98,24.96,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",26194
79.49,890.41,-3.68,-103.28,-108.18,-0.005,-2.75,12.92,0.04,0.034,0.9546,12.18,96827.43,7.84,95.38,1.159,-0,-0.9999,124.05,124.7,129.08,24.96,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",26195
79.48,890.42,-2.85,-106.75,-109.24,0.012,-3.03,13.1,0.18,0.0261,0.9773,12.05,23287.21,7.84,95.39,1.201,-0,-0.9997,124.11,124.59,129.24,24.96,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",26196
79.48,890.43,-2.2,-110.03,-110.33,0.019,-2.48,12.57,0.25,0.0199,0.9973,11.95,16885.49,7.84,95.39,1.233,-0,-0.9995,124.11,124.53,129.35,24.97,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",26197
79.51,890.44,-1.1,-112.92,-110.22,0.001,-2.34,12.12,0.18,0.01,1.0244,11.95,23313.62,7.84,95.33,1.264,-0,-0.9997,124.07,124.5,129.35,24.98,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",26198
79.48,890.45,-0.7,-114.77,-108.78,0.004,-2.04,11.1,-0.03,0.0065,1.0551,11.98,-167468.42,7.84,95.32,1.325,-0,-1,124.05,124.48,129.33,24.99,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",26199
79.48,890.46,-0.57,-115.99,-107.35,0.004,-1.22,10.53,0.11,0.0053,1.0806,12.08,37612,7.84,95.26,1.348,-0,-0.9998,124.01,124.44,129.28,25,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",26200
79.5,890.47,-1.32,-117.05,-105.17,0.001,-1.37,9.87,-0.09,0.0126,1.113,12.22,-44939.53,7.84,95.27,1.394,-0,-1.0002,123.98,124.35,129.26,25,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",26201
