AmbientRoomTemperature,ElapsedTime,LongitudinalForce,LateralForce,NormalForce,InclinationAngle,OverturningMoment,AligningTorque,WheelRotationalSpeed,NormalizedLongitudinalForce(FX/FZ),NormalizedLateralForce(FY/FZ),TirePressure,EffectiveRadius,LoadedRadius,RoadSurfaceTemperature,SlipAngle,SlipRatioTextbook,SlipRatioBasedOnRL,TireSurfaceTemperature-Center,TireSurfaceTemperature-Inboard,TireSurfaceTemperature-Outboard,RoadSpeed,testid,tireid,Index
79.37,822.752,-5.96,-52.66,-51.47,0.012,-1.62,2.74,0.04,0.1158,1.0231,12.29,96880.98,7.94,94.65,0.971,-0,-0.9999,124.29,126.16,131.63,24.97,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",23698
79.38,822.762,-5.77,-55.28,-52.58,0.003,-3.21,3.71,0.04,0.1097,1.0513,12.44,96901.91,7.94,94.68,1.018,-0,-0.9999,124.26,126.18,131.67,24.97,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",23699
79.41,822.772,-4.78,-57.95,-54.74,0.007,-3.4,4.79,0.04,0.0874,1.0588,12.5,96923.43,7.94,94.68,1.047,-0,-0.9999,124.26,126.13,131.67,24.98,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",23700
79.39,822.782,-3.6,-60.29,-56.33,0.009,-3.32,5.27,-0.03,0.0639,1.0703,12.49,-167333.06,7.94,94.69,1.087,-0,-1,124.22,126.05,131.71,24.97,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",23701
79.38,822.792,-1.33,-62.3,-56.64,0.006,-4.02,6.37,0.04,0.0234,1.1,12.42,96853.14,7.94,94.68,1.126,-0,-0.9999,124.26,125.96,131.69,24.96,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",23702
79.41,822.802,0.11,-63.67,-56.8,0.003,-2.66,6.68,0.04,-0.002,1.121,12.3,96874.41,7.94,94.67,1.159,-0,-0.9999,124.31,125.8,131.79,24.97,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",23703
79.41,822.812,1.85,-64.67,-55.77,0.02,-2.48,7.66,0.11,-0.0332,1.1597,12.14,37580.37,7.94,94.7,1.2,-0,-0.9998,124.29,125.76,131.77,24.98,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",23704
79.38,822.822,2.24,-64.93,-53.52,0.012,-2.28,7.72,0.04,-0.0418,1.2132,12.03,96916.54,7.94,94.74,1.232,-0,-0.9999,124.29,125.69,131.75,24.98,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",23705
79.38,822.832,2.02,-65.04,-52.04,0.006,-1.98,8.09,0.18,-0.0388,1.2499,12,23319.41,7.94,94.74,1.278,-0,-0.9997,124.24,125.67,131.67,24.99,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",23706
79.41,822.842,1.14,-65.63,-51.47,0.001,-1.07,8.33,0.04,-0.0222,1.2751,12.04,96935.54,7.94,94.72,1.316,-0,-0.9999,124.24,125.67,131.69,24.98,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",23707
79.4,822.852,-0.23,-67.22,-51.59,0.007,-1.57,8.3,0.11,0.0044,1.3029,12.14,37568.85,7.94,94.73,1.374,-0,-0.9998,124.22,125.76,131.67,24.97,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",23708
79.38,822.862,-1.84,-68.94,-52.44,0.009,-1.97,7.79,0.04,0.0351,1.3147,12.26,96864.25,7.94,94.75,1.404,-0,-0.9999,124.2,125.74,131.75,24.97,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",23709
79.4,822.872,-2.8,-71.15,-53.39,0.013,-3.2,7.42,0.11,0.0524,1.3328,12.36,37576.31,7.94,94.78,1.445,-0,-0.9998,124.22,125.72,131.81,24.98,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",23710
79.42,822.882,-4.1,-73.75,-55.39,0.001,-3.55,5.97,0.04,0.074,1.3315,12.38,96905.1,7.94,94.78,1.492,-0,-0.9999,124.16,125.65,131.87,24.98,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",23711
79.39,822.892,-4.26,-76.45,-57.19,0.013,-3.81,4.85,0.11,0.0746,1.3368,12.33,37600.91,7.94,94.79,1.53,-0,-0.9998,124.05,125.58,131.89,25,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",23712
79.39,822.902,-3.5,-79.08,-58.39,0.01,-3.92,4.18,0.11,0.0599,1.3544,12.25,37599.97,7.94,94.79,1.578,-0,-0.9998,124.01,125.52,131.95,25,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",23713
79.42,822.912,-2.36,-80.63,-58.57,0.01,-3.58,3.59,0.11,0.0402,1.3767,12.11,37564.39,7.94,94.82,1.614,-0,-0.9998,124.01,125.47,131.97,24.97,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",23714
79.42,822.922,-1.88,-81.22,-57.74,0.007,-3.04,2.54,0.04,0.0325,1.4067,12,96784.41,7.94,94.86,1.657,-0,-0.9999,123.96,125.54,131.97,24.95,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",23715
79.39,822.932,-1.29,-81.21,-55.9,0.009,-2.66,2.36,0.04,0.0231,1.4527,11.95,96760.57,7.94,94.89,1.683,-0,-0.9999,123.96,125.47,131.99,24.94,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",23716
79.41,822.942,-1.6,-80.73,-54.2,0.009,-2.39,2.1,0.11,0.0296,1.4894,11.95,37518.32,7.94,94.91,1.734,-0,-0.9998,123.94,125.43,131.87,24.94,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",23717
79.43,822.952,-1.96,-80.51,-52.74,-0.003,-1.89,2.51,0.11,0.0371,1.5265,12.04,37535.12,7.94,94.9,1.764,-0,-0.9998,123.92,125.39,131.85,24.96,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",23718
79.41,822.962,-3.06,-81.38,-52.24,0.017,-2.26,2.91,0.04,0.0585,1.5579,12.18,96798.42,7.94,94.9,1.812,-0,-0.9999,123.94,125.41,131.81,24.96,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",23719
79.4,822.972,-3.66,-82.88,-52.25,0.004,-3.15,3.8,0.04,0.0701,1.5863,12.31,96773.96,7.94,94.91,1.846,-0,-0.9999,123.9,125.5,131.83,24.95,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",23720
79.43,822.982,-4.16,-84.67,-53.89,0.019,-2.81,4.52,0.11,0.0772,1.571,12.37,37523.79,7.94,94.92,1.882,-0,-0.9998,123.96,125.54,131.81,24.95,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",23721
79.43,822.992,-4.22,-86.97,-55.81,0.01,-3.38,5.01,0.04,0.0755,1.5582,12.36,96747.16,7.94,94.95,1.919,-0,-0.9999,124.03,125.61,131.83,24.94,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",23722
79.41,823.002,-4.16,-88.69,-56.84,0.012,-3.62,4.94,0.04,0.0733,1.5604,12.29,96812.69,7.94,94.95,1.951,-0,-0.9999,124.01,125.58,131.87,24.96,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",23723
79.43,823.012,-3.26,-91.01,-58.3,0.007,-3.77,5.02,0.04,0.0559,1.5612,12.18,96877.38,7.95,94.95,1.995,-0,-0.9999,124.05,125.58,131.91,24.98,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",23724
79.45,823.022,-0.95,-92.37,-58.83,-0,-3.19,6.01,0.18,0.0162,1.5701,12.03,23298.99,7.95,94.97,2.037,-0,-0.9997,124.05,125.56,131.93,24.98,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",23725
79.43,823.032,1.13,-93,-58.74,0.003,-2.48,6.77,-0.03,-0.0192,1.5833,11.95,-167245.56,7.95,94.95,2.09,-0,-1,124.07,125.54,131.99,24.97,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",23726
79.41,823.042,2.54,-92.53,-57.21,0.007,-2.09,7.4,0.11,-0.0444,1.6173,11.92,37526.58,7.95,94.94,2.125,-0,-0.9998,124.09,125.52,131.99,24.96,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",23727
79.45,823.052,2.82,-91.93,-54.58,0.014,-2.71,7.5,0.11,-0.0517,1.6842,11.99,37533.84,7.95,94.93,2.181,-0,-0.9998,124.07,125.5,132.01,24.96,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",23728
79.45,823.062,2.41,-90.77,-52.72,0.001,-2.04,7.46,0.04,-0.0457,1.7218,12.09,96795.14,7.95,94.9,2.22,-0,-0.9999,124.05,125.54,131.91,24.96,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",23729
79.42,823.072,1.05,-90.82,-51.13,0.012,-2.82,7.34,0.18,-0.0206,1.7763,12.24,23300.75,7.95,94.83,2.263,-0,-0.9997,124.01,125.54,131.85,24.98,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",23730
79.43,823.082,-0.64,-91.27,-51.64,0.009,-2.25,6.99,0.04,0.0124,1.7673,12.34,96879.61,7.95,94.82,2.297,-0,-0.9999,124.05,125.58,131.81,24.98,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",23731
79.47,823.092,-2.13,-92.69,-52.01,0.012,-2.8,6.71,0.11,0.041,1.7823,12.38,37581.26,7.95,94.85,2.359,-0,-0.9998,124.07,125.56,131.83,25,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",23732
79.45,823.102,-3.77,-94.39,-53.07,0.009,-3.26,5.65,0.04,0.071,1.7786,12.37,96872.83,7.95,94.86,2.39,-0,-0.9999,124.09,125.54,131.83,24.98,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",23733
79.42,823.112,-4.37,-96.13,-54.32,0.014,-3.62,4.83,0.04,0.0804,1.7698,12.27,96914.55,7.95,94.81,2.433,-0,-0.9999,123.98,125.5,131.81,25,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",23734
79.45,823.122,-3.86,-97.84,-56.13,0.013,-3,4.31,0.11,0.0688,1.7429,12.14,37604.37,7.95,94.82,2.463,-0,-0.9998,124.01,125.54,131.81,25.01,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",23735
79.47,823.132,-2.92,-99.22,-56.69,0.009,-3.28,3.65,0.04,0.0515,1.7503,12.01,97066.25,7.95,94.84,2.506,-0,-0.9999,124.03,125.5,131.83,25.04,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",23736
79.44,823.142,-1.69,-99.96,-56.58,0.004,-2.67,3.06,0.04,0.0299,1.7666,11.95,97086.59,7.95,94.85,2.533,-0,-0.9999,124.01,125.47,131.87,25.04,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",23737
79.44,823.152,-0.85,-100.08,-55.76,-0.002,-2.5,2.37,0.18,0.0152,1.795,11.94,23349.01,7.95,94.88,2.582,-0,-0.9997,124.03,125.47,131.87,25.04,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",23738
79.47,823.162,-0.25,-99.04,-53.85,0.012,-2.32,2.13,0.18,0.0046,1.8393,12.01,23332.05,7.95,94.92,2.621,-0,-0.9997,123.98,125.5,131.81,25.03,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",23739
79.46,823.172,-0.2,-97.28,-51.16,0.003,-2.5,2.2,0.04,0.0039,1.9014,12.13,96919.99,7.95,94.95,2.649,-0,-0.9999,123.9,125.5,131.73,25,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",23740
79.43,823.182,-0.85,-96.06,-49.43,0.01,-2.29,2.62,0.11,0.0172,1.9432,12.27,37562.52,7.95,94.96,2.689,-0,-0.9998,123.9,125.45,131.69,24.99,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",23741
79.45,823.192,-1.84,-95.75,-48.55,0.01,-2.49,3.15,0.04,0.0379,1.9722,12.34,96914.17,7.95,94.98,2.72,-0,-0.9999,123.88,125.54,131.67,25,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",23742
79.48,823.202,-2.7,-96.39,-49.05,0.014,-2,3.95,0.04,0.0551,1.9653,12.36,96867.18,7.95,95.01,2.744,-0,-0.9999,123.92,125.61,131.67,24.99,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",23743
79.45,823.212,-3.08,-97.82,-50.4,0.019,-1.81,4.86,0.04,0.0612,1.9407,12.32,96863.15,7.95,94.99,2.791,-0,-0.9999,123.94,125.61,131.69,24.99,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",23744
79.45,823.222,-2.99,-99.64,-51.61,0.007,-2.25,5.79,-0.03,0.058,1.9306,12.22,-167225.25,7.95,94.93,2.833,-0,-1,123.96,125.52,131.73,24.98,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",23745
79.47,823.232,-1.6,-102.44,-53.57,0.006,-2.59,7.14,0.04,0.0299,1.9122,12.08,96722.12,7.96,94.88,2.863,-0,-0.9999,123.92,125.47,131.77,24.96,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",23746
79.47,823.242,0.08,-105.06,-54.86,-0,-3.18,7.9,0.11,-0.0015,1.915,11.99,37502.77,7.96,94.87,2.913,-0,-0.9998,123.9,125.45,131.79,24.96,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",23747
79.45,823.252,1.49,-106.93,-56.12,-0,-2.78,8,0.18,-0.0265,1.9055,11.95,23249.63,7.96,94.9,2.949,-0,-0.9997,123.9,125.43,131.81,24.94,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",23748
79.46,823.262,2.61,-107.15,-55.03,0.016,-3.14,7.78,-0.03,-0.0474,1.9472,12,-167007.8,7.95,94.9,2.984,-0,-1,123.83,125.39,131.85,24.95,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",23749
79.48,823.272,3.61,-106.01,-52.84,0.007,-3.48,7.73,0.04,-0.0683,2.0061,12.11,96729.28,7.96,94.93,3.032,-0,-0.9999,123.92,125.43,131.85,24.96,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",23750
79.45,823.282,3.66,-103.6,-50.85,-0.006,-2.67,7.46,0.04,-0.0719,2.0372,12.23,96724.72,7.96,94.94,3.08,-0,-0.9999,123.81,125.43,131.75,24.96,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",23751
79.45,823.292,3.35,-101.61,-48.44,0.003,-2.87,7.74,0.11,-0.0692,2.0979,12.34,37494.94,7.96,94.96,3.13,-0,-0.9998,123.83,125.43,131.65,24.96,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",23752
79.48,823.302,2.14,-100.38,-47.56,0.007,-2.16,7.72,0.04,-0.0451,2.1105,12.4,96716.62,7.96,94.98,3.165,-0,-0.9999,123.88,125.41,131.61,24.96,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",23753
79.48,823.312,0.45,-100.63,-47.52,-0.005,-1.58,7.33,-0.03,-0.0095,2.1178,12.36,-167047.77,7.96,94.99,3.214,-0,-1,123.88,125.52,131.57,24.96,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",23754
79.45,823.322,-1.66,-102.38,-48.83,0.001,-1.45,6.52,0.11,0.034,2.0966,12.28,37534.04,7.96,94.95,3.248,-0,-0.9998,123.94,125.52,131.61,24.98,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",23755
79.46,823.332,-3.51,-104.58,-49.82,0.006,-2.08,5.24,0.04,0.0704,2.099,12.16,96838.17,7.96,94.97,3.298,-0,-0.9999,123.96,125.58,131.63,25,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",23756
79.49,823.342,-4.09,-107.71,-51.67,0.009,-3,4.42,0.11,0.0792,2.0848,12.05,37564.65,7.96,94.93,3.355,-0,-0.9998,123.94,125.52,131.65,25.01,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",23757
79.47,823.352,-3.85,-110.55,-53.31,0.016,-3.53,3.58,0.04,0.0723,2.0739,12.01,96941.5,7.96,94.92,3.385,-0,-0.9999,123.94,125.52,131.69,25.03,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",23758
79.45,823.362,-2.65,-112.8,-54.4,-0.003,-3.74,3.03,0.04,0.0487,2.0737,12.06,96937.92,7.96,94.92,3.42,-0,-0.9999,123.94,125.5,131.71,25.03,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",23759
79.48,823.372,-1.66,-114.05,-54.1,-0.002,-4.37,1.98,0.11,0.0308,2.1081,12.14,37603.36,7.96,94.93,3.474,-0,-0.9998,123.94,125.5,131.81,25.04,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",23760
79.48,823.382,-0.74,-112.68,-53.43,0.009,-3.35,1.37,0.04,0.0139,2.1088,12.26,96974.32,7.96,94.98,3.5,-0,-0.9999,123.98,125.54,131.83,25.04,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",23761
79.46,823.392,-0.13,-110.47,-51.02,0.004,-3.26,1.24,0.04,0.0026,2.1654,12.39,96901.1,7.96,95.01,3.554,-0,-0.9999,123.92,125.47,131.83,25.02,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",23762
79.46,823.402,-0.74,-107.52,-48.62,0.009,-2.61,0.6,0.11,0.0153,2.2114,12.44,37546.51,7.96,95.03,3.584,-0,-0.9998,123.94,125.47,131.75,25,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",23763
79.49,823.412,-1.56,-105.12,-46.73,-0.005,-2.3,0.77,0.11,0.0334,2.2497,12.42,37519.05,7.96,95.05,3.616,-0,-0.9998,123.92,125.43,131.73,24.98,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",23764
79.48,823.422,-2.09,-104.73,-46.2,0.013,-2.15,1.79,0.04,0.0452,2.267,12.35,96710.48,7.96,95.01,3.655,-0,-0.9999,123.96,125.41,131.75,24.97,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",23765
79.46,823.432,-2.52,-105.76,-46.85,-0,-2.01,3.03,0.11,0.0537,2.2575,12.22,37472.26,7.96,94.98,3.692,-0,-0.9998,124.03,125.43,131.71,24.96,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",23766
79.48,823.442,-3.35,-108.27,-48.26,0.001,-2.28,3.52,0.04,0.0694,2.2436,12.1,96656.73,7.96,94.97,3.733,-0,-0.9999,124.18,125.45,131.75,24.96,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",23767
79.49,823.452,-3.37,-111.26,-50.38,0.007,-2.69,4.31,0.11,0.0669,2.2083,12.02,37477.81,7.96,94.91,3.763,-0,-0.9998,124.2,125.36,131.77,24.96,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",23768
79.47,823.462,-2.29,-114.38,-52.62,0.007,-2.82,5.4,0.11,0.0435,2.1738,12.03,37466.93,7.96,94.88,3.812,-0,-0.9998,124.22,125.36,131.85,24.96,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",23769
79.47,823.472,-0.64,-117.01,-53.91,0.003,-3.41,6.27,0.04,0.0118,2.1705,12.08,96621.56,7.96,94.84,3.844,-0,-0.9999,124.22,125.32,131.89,24.96,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",23770
79.5,823.482,1.61,-118.55,-53.97,-0,-4.31,7.15,0.11,-0.0297,2.1966,12.22,37446.47,7.96,94.81,3.879,-0,-0.9998,124.22,125.3,131.95,24.94,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",23771
79.48,823.492,3.15,-118.08,-53.26,-0,-4.03,7.35,0.11,-0.0591,2.217,12.32,37436.32,7.96,94.79,3.911,-0,-0.9998,124.18,125.32,132.03,24.94,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",23772
79.46,823.502,3.98,-115.44,-51.56,0.004,-3.21,7.21,0.04,-0.0772,2.2392,12.39,96631.1,7.96,94.77,3.952,-0,-0.9999,124.16,125.34,132.03,24.96,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",23773
79.48,823.512,4.45,-111.9,-48.91,0.016,-2.47,7.54,0.04,-0.0909,2.2877,12.4,96646.95,7.96,94.75,4.007,-0,-0.9999,124.09,125.32,131.97,24.97,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",23774
79.49,823.522,3.48,-109.18,-47.21,0.001,-1.83,7.25,-0.03,-0.0736,2.3128,12.32,-166966.53,7.96,94.76,4.044,-0,-1,124.07,125.32,131.87,24.97,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",23775
