AmbientRoomTemperature,ElapsedTime,LongitudinalForce,LateralForce,NormalForce,InclinationAngle,OverturningMoment,AligningTorque,WheelRotationalSpeed,NormalizedLongitudinalForce(FX/FZ),NormalizedLateralForce(FY/FZ),TirePressure,EffectiveRadius,LoadedRadius,RoadSurfaceTemperature,SlipAngle,SlipRatioTextbook,SlipRatioBasedOnRL,TireSurfaceTemperature-Center,TireSurfaceTemperature-Inboard,TireSurfaceTemperature-Outboard,RoadSpeed,testid,tireid,Index
79.3,759.973,-5.19,-398.3,-204.98,0.003,14.72,25,0.11,0.0253,1.9432,12.28,37485.85,7.59,97.54,4.912,-0,-0.9998,145.65,144.51,136.8,24.99,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",21684
79.31,759.983,-5.34,-398.63,-205.92,0.003,13.6,25.7,0.11,0.0259,1.9358,12.34,37496.73,7.6,97.49,4.871,-0,-0.9998,145.5,144.29,137,25,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",21685
79.28,759.993,-4.81,-399.12,-208.41,0.01,14.49,25.94,0.11,0.0231,1.9151,12.33,37507.37,7.59,97.46,4.833,-0,-0.9998,145.33,144.12,137.15,25,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",21686
79.28,760.003,-3.72,-398.94,-209.14,-0.003,14.48,26.2,0.11,0.0178,1.9076,12.28,37501.04,7.6,97.41,4.788,-0,-0.9998,145.16,143.94,137.23,25,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",21687
79.3,760.013,-2.53,-398.18,-209.53,0.004,14.66,26.25,0.04,0.0121,1.9003,12.17,96695.7,7.6,97.36,4.75,-0,-0.9999,144.99,143.79,137.23,24.99,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",21688
79.29,760.023,-1.2,-396.31,-208.34,0.003,14.11,26.39,0.04,0.0058,1.9023,12.11,96699.63,7.6,97.33,4.72,-0,-0.9999,144.93,143.7,137.27,24.99,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",21689
79.27,760.033,-1.03,-393.36,-206.83,0.009,14.48,25.78,0.25,0.005,1.9019,12.07,16856.87,7.6,97.33,4.677,-0,-0.9995,144.82,143.59,137.21,24.99,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",21690
79.29,760.043,-0.47,-390.25,-204.73,0.012,14.02,26.4,0.11,0.0023,1.9062,12.12,37525.46,7.6,97.33,4.649,-0,-0.9998,144.67,143.5,137.13,25.01,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",21691
79.3,760.053,-1.33,-386.98,-203.5,0.012,14.77,26.41,0.18,0.0065,1.9016,12.22,23276.92,7.6,97.33,4.596,-0,-0.9997,144.54,143.32,136.98,25.01,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",21692
79.28,760.063,-2.38,-384.5,-202.56,0.013,14.41,27.01,0.04,0.0118,1.8982,12.33,96764.52,7.6,97.33,4.564,-0,-0.9999,144.54,143.28,136.94,25,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",21693
79.27,760.073,-4.08,-383.43,-202.75,0.016,13.76,27.18,0.11,0.0201,1.8911,12.39,37479.81,7.6,97.32,4.516,-0,-0.9998,144.47,143.39,136.96,24.97,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",21694
79.3,760.083,-4.47,-382.65,-203.48,0.01,13.59,28.22,0.04,0.0219,1.8805,12.39,96640.45,7.6,97.33,4.48,-0,-0.9999,144.41,143.37,137.02,24.97,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",21695
79.3,760.093,-5.33,-382.33,-205.2,-0.003,13.63,27.97,0.11,0.026,1.8632,12.33,37491.8,7.6,97.34,4.447,-0,-0.9998,144.35,143.21,137.17,24.98,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",21696
79.28,760.103,-4.97,-382.35,-206.68,0.003,13.28,28.37,0.04,0.024,1.8499,12.2,96807.31,7.6,97.35,4.4,-0,-0.9999,144.09,142.97,137.37,25.01,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",21697
79.28,760.113,-4.93,-382.53,-208.13,0.007,12.93,27.65,0.11,0.0237,1.8379,12.06,37574.01,7.6,97.35,4.364,-0,-0.9998,143.96,142.77,137.47,25.03,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",21698
79.31,760.123,-3.37,-381.44,-208.85,0.01,13.65,28.07,0.11,0.0161,1.8264,11.98,37601.51,7.6,97.35,4.334,-0,-0.9998,143.83,142.62,137.53,25.05,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",21699
79.29,760.133,-2.59,-379.89,-208.43,0.013,13.73,27.48,0.11,0.0124,1.8226,11.93,37603.62,7.6,97.36,4.288,-0,-0.9998,143.72,142.53,137.49,25.05,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",21700
79.27,760.143,-1.97,-377.23,-206.69,0.007,13.63,27.03,0.04,0.0095,1.8251,12,96916.48,7.6,97.38,4.236,-0,-0.9999,143.68,142.42,137.43,25.03,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",21701
79.3,760.153,-1.85,-373.81,-204.81,0.007,13.26,26.8,0.04,0.009,1.8251,12.11,96852.97,7.6,97.41,4.203,-0,-0.9999,143.51,142.36,137.31,25.01,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",21702
