AmbientRoomTemperature,ElapsedTime,LongitudinalForce,LateralForce,NormalForce,InclinationAngle,OverturningMoment,AligningTorque,WheelRotationalSpeed,NormalizedLongitudinalForce(FX/FZ),NormalizedLateralForce(FY/FZ),TirePressure,EffectiveRadius,LoadedRadius,RoadSurfaceTemperature,SlipAngle,SlipRatioTextbook,SlipRatioBasedOnRL,TireSurfaceTemperature-Center,TireSurfaceTemperature-Inboard,TireSurfaceTemperature-Outboard,RoadSpeed,testid,tireid,Index
79.39,788.843,-6.81,-51.8,-148.95,0.013,-2.35,7.34,0.04,0.0457,0.3478,11.96,96869.72,7.73,95.63,0.46,-0,-0.9999,121.82,123.91,127.83,24.96,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",22439
79.37,788.853,-8.82,-56.61,-150.13,0.01,-2.15,6.67,0.04,0.0588,0.3771,12.07,96823.86,7.73,95.69,0.503,-0,-0.9999,121.86,124,128.01,24.95,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",22440
79.4,788.863,-9.99,-61.56,-150.69,-0,-2.76,6.13,0.04,0.0663,0.4085,12.2,96845.3,7.74,95.73,0.552,-0,-0.9999,121.82,123.91,128.19,24.96,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",22441
79.41,788.873,-10.08,-67.17,-153.16,0.006,-2.08,6.1,-0.03,0.0658,0.4386,12.29,-167354.55,7.74,95.77,0.587,-0,-1,121.84,123.84,128.38,24.97,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",22442
79.38,788.883,-9.97,-72.62,-154.35,0.012,-2.4,5.48,0.11,0.0646,0.4705,12.33,37612.57,7.74,95.83,0.633,-0,-0.9998,121.82,123.76,128.6,25,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",22443
79.39,788.893,-9.51,-78.06,-155.42,0.012,-2.17,5.01,0.04,0.0612,0.5022,12.28,96954.43,7.74,95.88,0.689,-0,-0.9999,121.82,123.69,128.7,24.98,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",22444
79.41,788.903,-8.74,-82.99,-156.01,0.006,-1.04,4.48,0.04,0.056,0.532,12.18,96931.52,7.74,95.91,0.705,-0,-0.9999,121.86,123.62,128.76,24.98,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",22445
79.39,788.913,-7.76,-87.66,-155.18,0.014,-1.1,4.57,-0.03,0.05,0.5649,12.06,-167385.8,7.74,95.89,0.758,-0,-1,121.95,123.58,128.8,24.97,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",22446
79.36,788.923,-7.5,-91.95,-153.92,-0.002,-0.77,4.32,0.04,0.0487,0.5974,11.94,96861.29,7.74,95.9,0.802,-0,-0.9999,121.88,123.56,128.76,24.96,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",22447
79.39,788.933,-7.62,-95.37,-152.74,0.006,0.08,4.91,0.04,0.0499,0.6244,11.89,96972.58,7.74,95.9,0.841,-0,-0.9999,121.8,123.56,128.66,24.99,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",22448
79.41,788.943,-8.09,-99.25,-151.65,0.009,0.01,5.94,0.04,0.0533,0.6545,11.92,96971.77,7.74,95.91,0.867,-0,-0.9999,121.75,123.56,128.58,24.99,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",22449
79.38,788.953,-8.94,-103.6,-151.61,0.007,-0.01,7.19,0.04,0.059,0.6833,12.01,96970.48,7.74,95.92,0.907,-0,-0.9999,121.75,123.6,128.56,24.99,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",22450
79.38,788.963,-8.87,-108.26,-152.03,0.007,-0.67,9.27,0.18,0.0583,0.7121,12.15,23327.15,7.74,95.9,0.941,-0,-0.9997,121.77,123.67,128.7,25,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",22451
79.41,788.973,-9.15,-112.77,-153.15,0.007,-0.79,10.32,0.11,0.0598,0.7363,12.3,37617.34,7.74,95.87,0.975,-0,-0.9998,121.77,123.65,128.82,25,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",22452
79.41,788.983,-8.71,-117.61,-154.95,0.013,-0.7,11.64,0.04,0.0562,0.759,12.37,97034,7.74,95.82,1.021,-0,-0.9999,121.77,123.58,128.98,25.01,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",22453
79.37,788.993,-7.67,-122.26,-156.28,0.009,-0.91,12.63,0.11,0.0491,0.7823,12.4,37625.11,7.74,95.81,1.044,-0,-0.9998,121.71,123.47,129.04,25.01,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",22454
79.39,789.003,-6.12,-126.59,-158.01,0.003,-0.02,13.61,0.04,0.0387,0.8012,12.34,97031.5,7.74,95.81,1.089,-0,-0.9999,121.71,123.45,129.2,25.01,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",22455
79.41,789.013,-3.79,-130.63,-158.41,0.004,0.25,14.99,-0.03,0.0239,0.8246,12.24,-167559.11,7.74,95.84,1.117,-0,-1,121.71,123.43,129.31,25,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",22456
79.39,789.023,-1.65,-133.55,-157.8,-0.002,0.86,15.97,-0.03,0.0105,0.8463,12.11,-167438.94,7.74,95.86,1.17,-0,-1,121.69,123.43,129.37,24.98,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",22457
79.38,789.033,-0.55,-136.02,-156.77,-0.002,1.25,16.45,0.11,0.0035,0.8676,12.02,37587.88,7.74,95.91,1.199,-0,-0.9998,121.65,123.38,129.37,24.98,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",22458
79.41,789.043,-0.33,-138.36,-155.29,0.006,1.17,16.88,0.04,0.0022,0.891,11.98,96890.32,7.74,95.94,1.243,-0,-0.9999,121.6,123.34,129.28,24.97,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",22459
79.4,789.053,-1.37,-140.86,-153.83,0.014,0.8,16.86,0.11,0.0089,0.9157,12.02,37577.71,7.74,95.96,1.286,-0,-0.9998,121.6,123.36,129.14,24.98,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",22460
79.37,789.063,-2.75,-144.12,-153.53,0.016,0.45,16.95,0.04,0.0179,0.9387,12.13,96909.35,7.74,95.95,1.322,-0,-0.9999,121.65,123.4,129.14,24.98,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",22461
79.39,789.073,-4.04,-147.35,-154.17,0.004,1.02,17.31,0.04,0.0262,0.9558,12.23,96907.39,7.75,95.91,1.365,-0,-0.9999,121.69,123.43,129.22,24.98,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",22462
79.41,789.083,-5.25,-151.73,-155.5,0.012,1,17.26,0.11,0.0338,0.9757,12.34,37558.14,7.75,95.85,1.406,-0,-0.9998,121.75,123.47,129.33,24.97,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",22463
79.38,789.093,-6.29,-156.24,-157.03,0.014,0.92,16.69,0.04,0.0401,0.995,12.39,96857.91,7.75,95.8,1.459,-0,-0.9999,121.69,123.49,129.45,24.97,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",22464
79.38,789.103,-6.72,-160.74,-158.5,0.012,1.09,15.8,0.11,0.0424,1.0142,12.36,37556.77,7.75,95.79,1.479,-0,-0.9998,121.65,123.38,129.59,24.97,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",22465
79.4,789.113,-6.25,-165.37,-159.45,0.001,0.9,15.18,0.04,0.0392,1.0372,12.28,96854.4,7.75,95.75,1.53,-0,-0.9999,121.62,123.38,129.71,24.97,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",22466
79.4,789.123,-5.36,-169.09,-159.4,0.001,0.92,14.57,0.04,0.0337,1.0608,12.14,96965.04,7.75,95.7,1.564,-0,-0.9999,121.62,123.34,129.81,25,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",22467
79.37,789.133,-3.96,-172.2,-158.97,0.01,1.58,14.52,0.11,0.0249,1.0833,12.05,37606.53,7.75,95.69,1.607,-0,-0.9998,121.6,123.34,129.83,25,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",22468
