RoadSpeed,TirePressure,InclinationAngle,NormalForce,SlipAngle,ElapsedTime,AligningTorque,LateralForce,Index
25,12,0,-150.2,2.158,794.453,17.42,-196.17,22999
25,12,0,-152.15,2.126,794.462,17.5,-194.16,23000
25,12,0,-153.46,2.102,794.472,17.29,-192.47,23001
25,12,0,-154.84,2.056,794.482,16.49,-190.77,23002
25,12,0,-155.13,2.014,794.492,15.67,-188.91,23003
25,12,0,-153.02,1.936,794.513,14.03,-183.29,23005
25,12,0,-150.47,1.908,794.522,12.87,-179.72,23006
25,12,0,-149.43,1.866,794.532,11.52,-176.46,23007
25,12,0,-149.17,1.762,794.562,10.46,-166.39,23010
25,12,0,-149.98,1.715,794.573,9.96,-163.73,23011
25,12,0,-151.56,1.666,794.582,9.93,-162.04,23012
25,12,0,-153.06,1.624,794.592,9.82,-159.74,23013
25,12,0,-154.33,1.579,794.602,9.7,-157.74,23014
25,12,0,-154.13,1.538,794.612,10.33,-154.77,23015
25,12,0,-153.1,1.505,794.622,10.81,-151.53,23016
25,12,0,-150.09,1.445,794.633,10.99,-147.45,23017
25,12,0,-148.64,1.404,794.642,11.72,-143.27,23018
25,12,0,-146.69,1.294,794.672,12.24,-131.14,23021
25,12,0,-147.52,1.243,794.682,12.23,-128.23,23022
25,12,0,-148.99,1.21,794.693,12.52,-125.76,23023
25,12,0,-150.09,1.173,794.703,12.21,-123.13,23024
25,12,0,-150.77,1.127,794.712,11.71,-120.18,23025
25,12,0,-150.51,1.089,794.722,11.44,-116.92,23026
25,12,0,-149.61,1.042,794.732,10.87,-113.2,23027
25,12,0,-142.53,0.929,794.763,8.51,-100.11,23030
25,12,0,-141.65,0.863,794.782,8.02,-92.07,23032
25,12,0,-142.74,0.816,794.792,7.34,-88.79,23033
25,12,0,-144.36,0.729,794.812,5.26,-82.29,23035
25,12,0,-145.7,0.653,794.832,4.16,-75.17,23037
25,12,0,-144.85,0.624,794.842,3.68,-71.29,23038
25,12,0,-143.55,0.581,794.852,3.25,-66.6,23039
25,12,0,-139.3,0.5,794.872,3.26,-57.58,23041
25,12,0,-138.76,0.462,794.883,3.46,-53.22,23042
25,12,0,-137.79,0.427,794.892,4.13,-49.21,23043
25,12,0,-138.23,0.389,794.902,4.16,-45.49,23044
25,12,-0,-139.37,0.345,794.912,3.99,-41.45,23045
25,12,0,-140.62,0.312,794.922,3.42,-37.76,23046
