RoadSpeed,TirePressure,InclinationAngle,NormalForce,SlipAngle,ElapsedTime,AligningTorque,LateralForce,Index
25,12,0,-256.81,6.624,860.941,30.89,-530.51,25379
25,12,0,-258.53,6.582,860.951,31.43,-531.14,25380
25,12,0,-260.54,6.54,860.961,31.72,-532.25,25381
25,12,0,-263.15,6.419,860.991,31.96,-530.72,25384
25,12,0,-261.99,6.387,861.001,32.09,-527.75,25385
25,12,0,-258.13,6.304,861.021,32.01,-520.58,25387
25,12,0,-256.61,6.264,861.031,32.29,-518.1,25388
25,12,0,-256.46,6.231,861.041,32.62,-516.09,25389
25,12,0,-257.49,6.19,861.051,32.71,-515.48,25390
25,12,0,-258.81,6.15,861.061,33.29,-515.64,25391
25,12,0,-261.07,6.118,861.071,33.9,-516.44,25392
25,12,0,-265.55,5.989,861.101,33.63,-515.04,25395
25,12,0,-264.05,5.959,861.111,32.92,-512.56,25396
25,12,0,-261.56,5.91,861.121,32.59,-509.45,25397
25,12,0,-259.47,5.869,861.131,32.45,-505.71,25398
25,12,0,-257.37,5.737,861.161,33.59,-499.19,25401
25,12,0,-259.07,5.704,861.171,34.75,-499.05,25402
25,12,0,-264.97,5.584,861.201,36.38,-498.93,25405
25,12,0,-265.86,5.55,861.211,36.62,-498.15,25406
25,12,0,-264.33,5.51,861.221,35.86,-495.35,25407
25,12,0,-262.56,5.474,861.231,35.71,-492.39,25408
25,12,0,-260.15,5.428,861.241,35.81,-488.97,25409
25,12,0,-258.12,5.404,861.251,36.22,-485.39,25410
25,12,0,-258.02,5.316,861.271,37.32,-481.2,25412
25,12,0,-262.64,5.185,861.301,38.72,-479.69,25415
25,12,0,-264.9,5.06,861.331,38.45,-476.59,25418
25,12,0,-262.77,5.02,861.341,38.18,-473.94,25419
25,12,0,-260.47,4.987,861.351,38.02,-470.68,25420
25,12,0,-258.26,4.908,861.371,38.59,-464.3,25422
25,12,0,-257.31,4.865,861.381,38.99,-461.81,25423
25,12,0,-258.46,4.831,861.391,39.69,-460.43,25424
25,12,0,-259.87,4.791,861.401,40.37,-459.67,25425
25,12,0,-264.58,4.632,861.441,40.47,-455.66,25429
25,12,0,-264.02,4.595,861.451,39.87,-453.18,25430
25,12,0,-261.76,4.557,861.461,39.7,-449.75,25431
25,12,0,-259.34,4.51,861.471,39.82,-446.32,25432
25,12,0,-258.02,4.474,861.481,40.03,-442.74,25433
25,12,0,-257.28,4.44,861.491,40.36,-440.11,25434
25,12,0,-261.06,4.325,861.521,41.55,-435.33,25437
25,12,0,-262.22,4.271,861.531,41.96,-434.4,25438
25,12,0,-262.89,4.165,861.561,41.58,-429.14,25441
25,12,0,-261.01,4.118,861.571,41.1,-425.87,25442
25,12,0,-258.84,4.086,861.581,40.82,-421.98,25443
25,12,0,-257.63,4.029,861.591,40.99,-417.93,25444
25,12,0,-260.08,3.879,861.631,42.65,-406.94,25448
25,12,0,-261.71,3.841,861.641,43.04,-405.87,25449
25,12,0,-264.01,3.803,861.651,43.24,-404.18,25450
25,12,0,-264.83,3.741,861.661,43.09,-402.48,25451
25,12,0,-262.76,3.68,861.681,41.84,-396.11,25453
25,12,0,-260.49,3.632,861.691,41.52,-391.75,25454
25,12,-0,-258.73,3.584,861.701,41.4,-387.23,25455
25,12,0,-258.96,3.461,861.731,41.81,-376.54,25458
25,12,0,-260.45,3.428,861.741,42.2,-374.69,25459
25,12,-0,-262.09,3.378,861.751,42.38,-372.53,25460
25,12,0,-264.05,3.352,861.761,42.56,-370.85,25461
25,12,0,-264.91,3.3,861.771,42.1,-368.21,25462
25,12,0,-264.08,3.269,861.781,42.01,-365.27,25463
25,12,0,-263.09,3.227,861.791,41.14,-361.84,25464
25,12,0,-261,3.189,861.801,40.78,-357.63,25465
25,12,0,-259.04,3.16,861.811,40.33,-353.12,25466
25,12,0,-258.2,3.041,861.841,40.13,-341.18,25469
25,12,0,-259.23,3.015,861.851,40.32,-338.57,25470
25,12,0,-261.46,2.972,861.861,40.25,-336.1,25471
25,12,0,-262.84,2.928,861.871,39.71,-333.62,25472
25,12,-0,-265.02,2.882,861.881,39.16,-330.83,25473
25,12,0,-264.68,2.858,861.891,38.35,-327.72,25474
25,12,-0,-258.09,2.642,861.941,35.65,-305.49,25479
25,12,0,-258.13,2.583,861.951,35.94,-301.16,25480
25,12,-0,-260.6,2.511,861.971,36.32,-294.97,25482
25,12,0,-262.06,2.467,861.981,36.79,-292.05,25483
25,12,0,-263.9,2.417,861.991,36.94,-289.1,25484
25,12,0,-264.17,2.372,862.001,35.93,-285.69,25485
25,12,0,-256.58,2.181,862.051,34.82,-262.23,25490
25,12,0,-256.08,2.133,862.061,35.05,-257.26,25491
25,12,0,-256.97,2.103,862.071,34.46,-253.23,25492
25,12,0,-258.15,2.07,862.081,34.25,-249.67,25493
25,12,0,-259.86,2.029,862.091,33.22,-246.74,25494
25,12,0,-261.41,2.006,862.101,32.98,-243.34,25495
25,12,0,-261.82,1.954,862.111,31.63,-240.23,25496
25,12,0,-254.9,1.805,862.151,26.69,-222.5,25500
25,12,0,-253.74,1.764,862.161,26.17,-217.38,25501
25,12,0,-253.45,1.732,862.171,25.68,-212.41,25502
25,12,0,-254.14,1.694,862.181,25.16,-208.07,25503
25,12,0,-255.65,1.645,862.191,25.45,-204.21,25504
25,12,0,-257.11,1.595,862.201,25.33,-201.12,25505
25,12,0,-259.04,1.553,862.211,25.49,-197.56,25506
25,12,0,-255.04,1.393,862.251,23.98,-180.48,25510
25,12,0,-253.58,1.357,862.261,23.64,-174.73,25511
25,12,0,-251.71,1.324,862.271,23.2,-168.98,25512
25,12,0,-251.82,1.273,862.281,22.86,-163.39,25513
25,12,0,-252.19,1.225,862.291,22.54,-158.59,25514
25,12,0,-253.41,1.18,862.301,22.46,-154.41,25515
25,12,0,-254.67,1.142,862.311,21.99,-150.39,25516
25,12,0,-256.61,1.104,862.321,21.33,-146.69,25517
25,12,0,-257.95,1.058,862.331,20.57,-142.5,25518
25,12,0,-253.26,0.939,862.361,17.98,-127.88,25521
25,12,0,-250.89,0.915,862.371,17.19,-121.98,25522
25,12,0,-249.11,0.859,862.381,16.6,-116.38,25523
25,12,0,-248.48,0.836,862.391,15.92,-110.79,25524
25,12,0,-248.43,0.789,862.401,15.68,-105.83,25525
25,12,0,-249.46,0.747,862.411,14.91,-101.34,25526
25,12,0,-250.53,0.71,862.421,13.67,-97.46,25527
25,12,0,-251.87,0.67,862.431,13.37,-93.45,25528
25,12,0,-247.02,0.49,862.481,7.49,-68.89,25533
25,12,0,-245.36,0.444,862.491,6.73,-62.82,25534
